irt3m_eacc,irt6m_eacc,ltirt_eacc,ppicag_ea,ppicog_ea,ppindcog_ea,ppidcog_ea,ppiing_ea,ppinrg_ea,hicpov_ea,hicpnef_ea,hicpg_ea,hicpin_ea,hicpsv_ea,hicpng_ea,curr_eacc,m1_eacc,m2_eacc,oilpricex,hcpi_yoy,date
,,,,,,,,,,,,,,,,,,3.0,,1959-01-01
,,,,,,,,,,,,,,,,,,3.0,,1959-02-01
,,,,,,,,,,,,,,,,,,2.97,,1959-03-01
,,,,,,,,,,,,,,,,,,2.97,,1959-04-01
,,,,,,,,,,,,,,,,,,2.97,,1959-05-01
,,,,,,,,,,,,,,,,,,2.97,,1959-06-01
,,,,,,,,,,,,,,,,,,2.97,,1959-07-01
,,,,,,,,,,,,,,,,,,2.97,,1959-08-01
,,,,,,,,,,,,,,,,,,2.97,,1959-09-01
,,,,,,,,,,,,,,,,,,2.97,,1959-10-01
,,,,,,,,,,,,,,,,,,2.97,,1959-11-01
,,,,,,,,,,,,,,,,,,2.97,,1959-12-01
,,,,,,,,,,,,,,,,,,2.97,,1960-01-01
,,,,,,,,,,,,,,,,,,2.97,,1960-02-01
,,,,,,,,,,,,,,,,,,2.97,,1960-03-01
,,,,,,,,,,,,,,,,,,2.97,,1960-04-01
,,,,,,,,,,,,,,,,,,2.97,,1960-05-01
,,,,,,,,,,,,,,,,,,2.97,,1960-06-01
,,,,,,,,,,,,,,,,,,2.97,,1960-07-01
,,,,,,,,,,,,,,,,,,2.97,,1960-08-01
,,,,,,,,,,,,,,,,,,2.97,,1960-09-01
,,,,,,,,,,,,,,,,,,2.97,,1960-10-01
,,,,,,,,,,,,,,,,,,2.97,,1960-11-01
,,,,,,,,,,,,,,,,,,2.97,,1960-12-01
,,,,,,,,,,,,,,,,,,2.97,,1961-01-01
,,,,,,,,,,,,,,,,,,2.97,,1961-02-01
,,,,,,,,,,,,,,,,,,2.97,,1961-03-01
,,,,,,,,,,,,,,,,,,2.97,,1961-04-01
,,,,,,,,,,,,,,,,,,2.97,,1961-05-01
,,,,,,,,,,,,,,,,,,2.97,,1961-06-01
,,,,,,,,,,,,,,,,,,2.97,,1961-07-01
,,,,,,,,,,,,,,,,,,2.97,,1961-08-01
,,,,,,,,,,,,,,,,,,2.97,,1961-09-01
,,,,,,,,,,,,,,,,,,2.97,,1961-10-01
,,,,,,,,,,,,,,,,,,2.97,,1961-11-01
,,,,,,,,,,,,,,,,,,2.97,,1961-12-01
,,,,,,,,,,,,,,,,,,2.97,,1962-01-01
,,,,,,,,,,,,,,,,,,2.97,,1962-02-01
,,,,,,,,,,,,,,,,,,2.97,,1962-03-01
,,,,,,,,,,,,,,,,,,2.97,,1962-04-01
,,,,,,,,,,,,,,,,,,2.97,,1962-05-01
,,,,,,,,,,,,,,,,,,2.97,,1962-06-01
,,,,,,,,,,,,,,,,,,2.97,,1962-07-01
,,,,,,,,,,,,,,,,,,2.97,,1962-08-01
,,,,,,,,,,,,,,,,,,2.97,,1962-09-01
,,,,,,,,,,,,,,,,,,2.97,,1962-10-01
,,,,,,,,,,,,,,,,,,2.97,,1962-11-01
,,,,,,,,,,,,,,,,,,2.97,,1962-12-01
,,,,,,,,,,,,,,,,,,2.97,,1963-01-01
,,,,,,,,,,,,,,,,,,2.97,,1963-02-01
,,,,,,,,,,,,,,,,,,2.97,,1963-03-01
,,,,,,,,,,,,,,,,,,2.97,,1963-04-01
,,,,,,,,,,,,,,,,,,2.97,,1963-05-01
,,,,,,,,,,,,,,,,,,2.97,,1963-06-01
,,,,,,,,,,,,,,,,,,2.97,,1963-07-01
,,,,,,,,,,,,,,,,,,2.97,,1963-08-01
,,,,,,,,,,,,,,,,,,2.97,,1963-09-01
,,,,,,,,,,,,,,,,,,2.97,,1963-10-01
,,,,,,,,,,,,,,,,,,2.97,,1963-11-01
,,,,,,,,,,,,,,,,,,2.97,,1963-12-01
,,,,,,,,,,,,,,,,,,2.97,,1964-01-01
,,,,,,,,,,,,,,,,,,2.97,,1964-02-01
,,,,,,,,,,,,,,,,,,2.97,,1964-03-01
,,,,,,,,,,,,,,,,,,2.97,,1964-04-01
,,,,,,,,,,,,,,,,,,2.97,,1964-05-01
,,,,,,,,,,,,,,,,,,2.97,,1964-06-01
,,,,,,,,,,,,,,,,,,2.92,,1964-07-01
,,,,,,,,,,,,,,,,,,2.92,,1964-08-01
,,,,,,,,,,,,,,,,,,2.92,,1964-09-01
,,,,,,,,,,,,,,,,,,2.92,,1964-10-01
,,,,,,,,,,,,,,,,,,2.92,,1964-11-01
,,,,,,,,,,,,,,,,,,2.92,,1964-12-01
,,,,,,,,,,,,,,,,,,2.92,,1965-01-01
,,,,,,,,,,,,,,,,,,2.92,,1965-02-01
,,,,,,,,,,,,,,,,,,2.92,,1965-03-01
,,,,,,,,,,,,,,,,,,2.92,,1965-04-01
,,,,,,,,,,,,,,,,,,2.92,,1965-05-01
,,,,,,,,,,,,,,,,,,2.92,,1965-06-01
,,,,,,,,,,,,,,,,,,2.92,,1965-07-01
,,,,,,,,,,,,,,,,,,2.92,,1965-08-01
,,,,,,,,,,,,,,,,,,2.92,,1965-09-01
,,,,,,,,,,,,,,,,,,2.92,,1965-10-01
,,,,,,,,,,,,,,,,,,2.92,,1965-11-01
,,,,,,,,,,,,,,,,,,2.92,,1965-12-01
,,,,,,,,,,,,,,,,,,2.92,,1966-01-01
