Date;Producer Price Index, Total, Base Month December 2020, Index;Import Price Index, Total, Base Month December 2020, Index
1963-05;53.82553074;77.7408316
1963-06;53.82553074;77.37752191
1963-07;53.61488774;76.52996923
1963-08;53.72026;76.04562427
1963-09;54.03627526;76.65110645
1963-10;54.03627526;77.25648665
1963-11;54.14154601;76.89317696
1963-12;54.03627526;77.13534943
1964-01;54.24681675;77.13534943
1964-02;54.24681675;77.37752191
1964-03;54.66830579;77.25648665
1964-04;54.77347502;78.1041413
1964-05;54.66830579;77.86186686
1964-06;54.56283202;77.61979635
1964-07;54.66830579;77.13534943
1964-08;54.87884728;77.61979635
1964-09;54.87884728;77.61979635
1964-10;54.98432105;77.98300408
1964-11;54.87884728;77.86186686
1964-12;54.98432105;77.49865913
1965-01;55.08949028;76.89317696
1965-02;55.08949028;77.25648665
1965-03;54.77347502;77.13534943
1965-04;55.08949028;77.13534943
1965-05;55.3002348;77.61979635
1965-06;54.98432105;77.7408316
1965-07;54.87884728;77.01421221
1965-08;54.98432105;76.65110645
1965-09;55.19486254;76.7721417
1965-10;55.51087781;76.89317696
1965-11;55.61614855;77.7408316
1965-12;56.14290834;78.1041413
1966-01;56.24817908;78.46734903
1966-02;56.35365285;78.95179595
1966-03;56.35365285;78.95179595
1966-04;56.56419434;78.95179595
1966-05;56.45882208;79.19396843
1966-06;56.45882208;78.95179595
1966-07;55.93216382;78.58848625
1966-08;56.03763759;77.37752191
1966-09;56.03763759;77.13534943
1966-10;56.35365285;77.37752191
1966-11;56.45882208;77.37752191
1966-12;56.35365285;77.61979635
1967-01;56.35365285;77.7408316
1967-02;56.35365285;78.22527852
1967-03;56.24817908;77.98300408
1967-04;56.56419434;77.7408316
1967-05;56.77483735;78.22527852
1967-06;56.6695666;78.46734903
1967-07;56.56419434;78.70962348
1967-08;56.45882208;78.70962348
1967-09;56.56419434;78.58848625
1967-10;56.6695666;78.22527852
1967-11;56.6695666;78.46734903
1967-12;56.77483735;78.46734903
1968-01;56.77483735;78.8307607
1968-02;56.6695666;79.31510565
1968-03;56.24817908;79.19396843
1968-04;56.35365285;78.46734903
1968-05;56.24817908;78.22527852
1968-06;56.14290834;78.34641575
1968-07;56.03763759;78.22527852
1968-08;56.24817908;78.34641575
1968-09;56.35365285;78.8307607
1968-10;56.45882208;79.07283121
1968-11;56.56419434;79.67821141
1968-12;56.77483735;79.92048585
1969-01;56.88020961;80.64700328
1969-02;56.6695666;81.37362268
1969-03;56.88020961;80.88927772
1969-04;57.09085261;81.85796763
1969-05;57.30149562;82.70562228
1969-06;57.30149562;83.18996723
1969-07;57.19622487;83.91648465
1969-08;57.40686788;84.03762188
1969-09;57.72288314;84.40093157
1969-10;58.03879689;85.24868819
1969-11;58.24954141;86.58048386
1969-12;58.35481215;87.30710325
1970-01;58.67092893;87.79155017
1970-02;59.1975872;88.15465593
1970-03;59.30285794;88.5180676
1970-04;59.51360246;89.12354977
1970-05;59.40812869;89.4867575
1970-06;59.40812869;88.7601381
1970-07;59.30285794;88.63900088
1970-08;59.40812869;88.39693037
1970-09;59.72414395;88.39693037
1970-10;60.14563299;86.58048386
1970-11;60.25090373;86.45955057
1970-12;60.35617448;86.45955057
1971-01;60.67218974;86.70162108
1971-02;61.51496479;86.94389552
1971-03;61.62023553;87.79155017
1971-04;61.9362508;88.15465593
1971-05;61.83098005;87.186068
1971-06;61.9362508;86.94389552
1971-07;61.83098005;86.33841335
1971-08;62.04152154;85.97500168
1971-09;62.1468938;85.36962148
1971-10;62.35753681;85.36962148
1971-11;62.67355207;84.64310405
1971-12;63.09483808;85.49065673
1972-01;63.41085334;86.0961389
1972-02;63.83224087;86.0961389
1972-03;63.83224087;87.186068
1972-04;64.04288387;87.54927573
1972-05;64.04288387;87.79155017
1972-06;64.04288387;87.79155017
1972-07;64.25362839;87.91268739
1972-08;64.46416988;88.7601381
1972-09;64.99092966;89.8500672
1972-10;65.41221567;90.93979235
1972-11;65.72823093;91.06092958
1972-12;66.78154747;92.63520362
1973-01;67.413578;94.45154817
1973-02;68.67763905;95.66241055
1973-03;68.9935528;97.72102954
1973-04;69.30946655;98.2053745
1973-05;69.30946655;99.65840935
1973-06;69.52031258;101.1115462
1973-07;69.62548181;102.564683
1973-08;70.3628846;103.5333729
1973-09;71.62684414;105.2286822
1973-10;72.36424693;108.4981636
1973-11;72.89100671;111.5254725
1973-12;74.15496625;115.0370243
1974-01;75.31355353;119.2752976
1974-02;78.47360466;118.7910546
1974-03;78.89489066;125.5720879
1974-04;79.73766571;126.4197425
1974-05;80.05368097;125.5720879
1974-06;80.47496698;124.9666057
1974-07;80.36969624;125.2088801
1974-08;81.21226825;125.3298134
1974-09;81.52828352;127.3884324
1974-10;81.84429878;127.3884324
1974-11;81.63355426;126.5408797
1974-12;81.63355426;122.1814693
1975-01;81.94956953;119.5174701
1975-02;81.10699751;116.8534709
1975-03;81.00172677;112.4941624
1975-04;80.89625299;112.4941624
1975-05;80.26422246;112.0098174
1975-06;80.05368097;110.9198883
1975-07;79.84293645;111.5254725
1975-08;79.52692119;112.857574
1975-09;79.73766571;111.1621628
1975-10;79.63229345;109.7090259
1975-11;79.73766571;109.1036457
1975-12;79.63229345;108.8614733
1976-01;79.52692119;108.9825085
1976-02;79.63229345;109.9513004
1976-03;79.63229345;111.4043352
1976-04;79.42165045;112.857574
1976-05;79.73766571;113.2207818
1976-06;79.84293645;113.826162
1976-07;79.63229345;114.3106089
1976-08;79.63229345;114.3106089
1976-09;79.42165045;113.826162
1976-10;79.42165045;113.4628523
1976-11;79.73766571;113.341817
1976-12;79.63229345;113.2207818
1977-01;79.63229345;114.5526794
1977-02;79.63229345;115.2792988
1977-03;79.73766571;117.2166786
1977-04;79.63229345;117.2166786
1977-05;79.63229345;117.7012275
1977-06;79.63229345;116.6112984
1977-07;79.21090593;114.7949538
1977-08;79.63229345;112.857574
1977-09;79.42165045;112.7364368
1977-10;79.42165045;110.6778178
1977-11;79.31627819;109.8301632
1977-12;79.00036444;108.2558891
1978-01;79.00036444;107.2873012
1978-02;78.78961992;106.3185093
1978-03;78.5788754;106.0763368
1978-04;78.68434917;106.3185093
1978-05;78.68434917;106.3185093
1978-06;78.47360466;105.5918899
1978-07;78.15758939;104.623302
1978-08;77.84167564;103.0490279
1978-09;77.94694639;100.9905109
1978-10;78.15758939;100.506064
1978-11;78.26296165;103.2912004
1978-12;78.47360466;103.0490279
1979-01;78.89489066;104.5021648
1979-02;79.21090593;108.740336
1979-03;79.52692119;108.9825085
1979-04;79.84293645;110.9198883
1979-05;79.9482072;114.3106089
1979-06;79.9482072;115.7636437
1979-07;79.9482072;115.1581616
1979-08;80.58023773;114.6738166
1979-09;80.6857115;115.2792988
1979-10;81.21226825;115.6426085
1979-11;81.317539;118.1855724
1979-12;81.94956953;118.1855724
1980-01;82.26558479;119.0331251
1980-02;82.68697231;119.2752976
1980-03;83.10835984;121.3339166
1980-04;83.21363058;122.7869514
1980-05;83.4243751;121.3339166
1980-06;83.74039036;120.9706069
1980-07;83.84566111;121.2127794
1980-08;83.84566111;120.1229522
1980-09;84.47759012;119.7597445
1980-10;84.7937069;120.48616
1980-11;85.10972216;123.0292259
1980-12;85.84702344;123.5135708
1981-01;86.3736817;125.0877429
1981-02;87.21635524;126.5408797
1981-03;87.42699824;127.1463619
1981-04;87.84828425;127.8728793
1981-05;87.7430135;128.4783615
1981-06;88.26967177;128.720432
1981-07;88.58568704;130.2946041
1981-08;88.9017023;131.8688781
1981-09;90.0603911;130.4157413
1981-10;90.16556033;129.6892239
1981-11;90.2710341;128.2360871
1981-12;90.48157559;128.5992948
1982-01;90.69242162;128.9627065
1982-02;90.58704936;128.4783615
1982-03;91.00833537;127.0252247
1982-04;91.74563664;128.4783615
1982-05;91.53499364;129.2048789
1982-06;91.8510089;129.0837417
1982-07;91.74563664;128.720432
1982-08;91.95638116;128.3572243
1982-09;92.06175342;129.3259142
1982-10;91.95638116;129.6892239
1982-11;91.95638116;128.4783615
1982-12;91.95638116;127.3884324
1983-01;91.74563664;126.17757
1983-02;91.6403659;125.0877429
1983-03;91.8510089;125.0877429
1983-04;92.06175342;126.17757
1983-05;92.37776869;126.5408797
1983-06;92.48293792;127.7517421
1983-07;92.69378395;127.0252247
1983-08;93.11496844;128.4783615
1983-09;93.11496844;129.0837417
1983-10;93.32571296;127.5094677
1983-11;93.64162671;127.9938126
1983-12;94.06301424;128.5992948
1984-01;94.16828498;129.4470514
1984-02;95.01095851;129.4470514
1984-03;95.11633077;130.778949
1984-04;95.11633077;131.3844312
1984-05;95.22170303;132.2321878
1984-06;95.43234604;131.7477409
1984-07;95.22170303;132.3532231
1984-08;95.64298904;132.5954975
1984-09;95.7483613;134.5328773
1984-10;95.85373356;134.5328773
1984-11;95.9590043;133.9273952
1984-12;96.69630558;133.4429482
1985-01;97.01221932;137.8023587
1985-02;97.01221932;139.8608757
1985-03;97.43370836;140.3453227
1985-04;97.43370836;138.8920839
1985-05;97.43370836;137.9234959
1985-06;97.01221932;136.4703591
1985-07;96.69630558;134.7750498
1985-08;97.01221932;133.322015
1985-09;97.3283361;134.0484304
1985-10;97.3283361;133.2008777
1985-11;97.22306536;133.322015
1985-12;96.90705009;132.7166348
1986-01;96.80167783;130.5368785
1986-02;96.27501957;128.3572243
1986-03;96.06437656;126.5408797
1986-04;96.06437656;125.0877429
1986-05;96.16964731;123.5135708
1986-06;96.16964731;121.3339166
1986-07;95.7483613;119.0331251
1986-08;95.53771829;119.0331251
1986-09;95.43234604;118.4277449
1986-10;94.90568777;117.5800903
1986-11;94.90568777;115.7636437
1986-12;95.11633077;116.1268515
1987-01;94.90568777;115.884781
1987-02;95.01095851;115.2792988
1987-03;94.90568777;115.2792988
1987-04;95.01095851;114.7949538
1987-05;95.22170303;114.5526794
1987-06;95.11633077;115.5215732
1987-07;95.22170303;116.0059182
1987-08;95.22170303;115.5215732
1987-09;95.53771829;114.4316441
1987-10;95.64298904;115.7636437
1987-11;95.7483613;114.7949538
1987-12;95.7483613;114.9160911
1988-01;96.27501957;114.9160911
1988-02;96.69630558;115.2792988
1988-03;96.69630558;116.3690239
1988-04;96.90705009;117.2166786
1988-05;97.1176931;117.5800903
1988-06;97.1176931;118.5487802
1988-07;97.1176931;118.5487802
1988-08;97.85509589;118.6699174
1988-09;98.27638189;119.6386073
1988-10;98.4870249;120.3652267
1988-11;98.80304016;120.2440895
1988-12;99.01358165;122.1814693
1989-01;99.22442769;124.3612255
1989-02;99.64571369;124.2400883
1989-03;100.172372;127.6306049
1989-04;100.5937595;129.2048789
1989-05;100.5937595;129.5681886
1989-06;100.4882857;127.6306049
1989-07;100.5937595;126.17757
1989-08;100.804301;126.7830522
1989-09;100.9097747;127.3884324
