Switzerland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Consumer Price Index, Total, Base Month December 2020, Index;Consumer Price Index, Core CPI, Total Excluding Fresh & Seasonal Products, Energy & Fuels, Index;Consumer Price Index, Goods Categories, Goods, Index;Consumer Price Index, Goods Categories, Services, Index;Consumer Price Index, Housing & Energy, Index;Consumer Price Index, Food & Non-Alcoholic Beverages, Index;Consumer Price Index, Transport, Index;Consumer Price Index, Health, Index;Consumer Price Index, Clothing & Footwear, Index;Consumer Price Index, Alcoholic Beverages & Tobacco, Index;Consumer Price Index, Household Furniture & Furnishings & Routine Maintenance, Index;Consumer Price Index, Restaurants & Hotels, Index;Consumer Price Index, Recreation & Culture, Index;Consumer Price Index, Communications, Index;Consumer Price Index, Education, Index;Producer Price Index, Goods Categories, Non-Durable Consumer Goods, Index;Producer Price Index, Goods Categories, Durable Consumer Goods, Index;Producer Price Index, Manufactured Goods, Index;Producer Price Index, Goods Categories, Intermediary Goods, Index;Producer Price Index, Pharmaceutical Products, Index;Producer Price Index, Goods Categories, Energy, Index;Producer Price Index, Goods Categories, Investment Goods, Index;Producer Price Index, Machines, Index;Producer Price Index, Electricity, Index;Producer Price Index, Metals & Metal Semi-Products, Index;Producer Price Index, Mineral Oil Products, Index;Producer Price Index, Food & Feed, Index;Producer Price Index, Vehicles & Vehicle Parts, Index;Monetary Statistics, Monetary Aggregates, M0, Total, CHF;Monetary Statistics, Monetary Aggregates, M1, Total, CHF;Monetary Statistics, Monetary Aggregates, M2, Total, CHF;Monetary Statistics, Monetary Aggregates, M3, Total, CHF;Switzerland, Yield Curve, Spot Interest Rates, Swiss National Bank, 10 Year, Yield;Switzerland, Yield Curve, Spot Interest Rates, Swiss National Bank, 1 Year, Yield;Switzerland, Repo Rates, SIX Swiss Exchange/SNB, Swiss Average Rate, End of Day, 3 Month, Fixing;Switzerland, Repo Rates, SIX Swiss Exchange/SNB, Swiss Average Rate, End of Day, 6 Month, Fixing
01.01.1982;60.277697;;;;;;;;;;;;;;;;;;;;;;;;;;;;28756000000;;;;;;;
01.02.1982;60.374794;;;;;;;;;;;;;;;;;;;;;;;;;;;;27966000000;;;;;;;
01.03.1982;60.4816;;;;;;;;;;;;;;;;;;;;;;;;;;;;28505000000;;;;;;;
01.04.1982;60.821439;;;;;;;;;;;;;;;;;;;;;;;;;;;;28722000000;;;;;;;
01.05.1982;61.607923;;;;;;;;;;;;;;;;;;;;;;;;;;;;28761000000;;;;;;;
01.06.1982;62.151665;;;;;;;;;;;;;;;;;;;;;;;;;;;;29016000000;;;;;;;
01.07.1982;62.384698;;;;;;;;;;;;;;;;;;;;;;;;;;;;29028000000;;;;;;;
01.08.1982;62.860472;;;;;;;;;;;;;;;;;;;;;;;;;;;;28599000000;;;;;;;
01.09.1982;63.103214;;;;;;;;;;;;;;;;;;;;;;;;;;;;29285000000;;;;;;;
01.10.1982;63.268278;;;;;;;;;;;;;;;;;;;;;;;;;;;;29242000000;;;;;;;
01.11.1982;63.443053;;;;;;;;;;;;;;;;;;;;;;;;;;;;29516000000;;;;;;;
01.12.1982;63.2611;;84.1813;50.1964;49.2857;72.9171;67.101;63.9804;72.4313;54.875;83.1794;43.9044;82.6716;177.1931;36.9778;;;;;;;;;;;;;;32593000000;;;;;;;
01.01.1983;63.1666;;83.7223;50.3269;48.8063;73.2391;66.5178;65.1101;72.4313;54.875;83.1794;43.9044;82.7008;177.1931;36.9778;;;;;;;;;;;;;;32130000000;;;;;;;
01.02.1983;63.2539;;83.4839;50.6131;48.3714;73.5722;66.1857;65.1101;72.4313;54.8633;83.1794;44.9787;83.3445;177.1931;37.3451;;;;;;;;;;;;;;29409000000;;;;;;;
01.03.1983;63.3746;;83.7351;50.6532;48.2671;74.3022;65.8056;65.1149;73.1234;54.8633;83.8332;44.9787;83.3445;177.1931;37.3451;;;;;;;;;;;;;;30370000000;;;;;;;
01.04.1983;63.5727;;84.1805;50.6984;48.4435;75.0765;65.9756;65.1765;73.1234;54.8633;83.8332;44.9787;83.3564;177.1931;37.3451;;;;;;;;;;;;;;29612000000;;;;;;;
01.05.1983;63.6272;;83.8726;50.9745;48.9045;74.4582;66.698;66.1411;73.1234;54.6389;83.8332;45.2133;81.7292;177.1931;37.6387;;;;;;;;;;;;;;29817000000;;;;;;;
01.06.1983;63.8901;;84.5294;50.9945;49.0324;75.6674;66.7212;66.2225;73.3979;54.6389;84.0333;45.2133;81.7292;177.1931;37.6387;;;;;;;;;;;;;;29818000000;;;;;;;
01.07.1983;63.7656;;84.1339;51.0347;49.0084;74.6574;66.8918;66.5267;73.3979;54.6389;84.0333;45.2133;81.759;177.1931;37.6387;;;;;;;;;;;;;;29665000000;;;;;;;
01.08.1983;63.9373;;83.8543;51.4865;49.2153;73.5802;66.8816;66.5267;73.3979;54.6034;84.0333;44.9754;84.9669;177.1931;38.1762;;;;;;;;;;;;;;29721000000;;;;;;;
01.09.1983;64.0167;;84.0408;51.5015;49.2368;73.8059;66.8373;66.5398;73.8418;54.6034;84.1536;44.9754;84.9669;177.1931;38.1762;;;;;;;;;;;;;;30058000000;;;;;;;
01.10.1983;64.17;;84.4044;51.5216;49.1184;74.6811;67.2772;66.6017;73.8418;54.6034;84.1536;44.9754;84.9697;177.1931;38.1762;;;;;;;;;;;;;;30269000000;;;;;;;
01.11.1983;64.5766;;84.9611;51.8378;49.7912;75.0432;67.5503;66.6017;73.8418;54.4664;84.1536;45.4589;85.4293;177.1931;39.5176;;;;;;;;;;;;;;30066000000;;;;;;;
01.12.1983;64.6126;;85.0386;51.8479;49.6859;75.0767;67.6899;66.6634;74.3564;54.4664;84.3423;45.4589;85.4293;177.1931;39.5176;;;;;;;;;;;;;;32940000000;;;;;;;
01.01.1984;64.8447;;85.3448;52.0336;49.8942;75.8433;67.6902;67.4549;74.3564;54.4664;84.3423;45.4589;85.4674;177.1931;39.5176;;;;;;;;;;;;;;31552000000;;;;;;;
01.02.1984;65.0788;;85.5645;52.2758;49.9042;76.3986;67.4527;67.4549;74.3564;54.1959;84.3423;46.4211;85.9858;177.1931;39.7502;;;;;;;;;;;;;;30178000000;;;;;;;
01.03.1984;65.502;;86.0822;52.6396;49.8766;77.4933;67.3939;67.4854;75.0445;54.1959;84.7263;46.4211;85.9858;208.1664;39.7502;;;;;;;;;;;;;;30812000000;;;;;;;
01.04.1984;65.5984;;86.2994;52.6614;49.8787;78.1005;67.3852;67.5278;75.0445;54.1959;84.7263;46.4211;85.9858;208.1664;39.7502;;;;;;;;;;;;;;30964000000;;;;;;;
01.05.1984;65.4621;;86.1533;52.5314;50.2865;77.7144;67.4129;67.5278;75.0445;55.0216;84.7263;46.5707;83.4043;208.1664;39.8451;;;;;;;;;;;;;;30082000000;;;;;;;
01.06.1984;65.6728;;86.6926;52.5394;50.3891;78.4681;67.6219;67.5677;75.5367;55.0216;84.901;46.5707;83.4043;208.1664;39.8451;;;;;;;;;;;;;;30669000000;;;;;;;
