cutoff,target_time,horizon_step,prediction,h_step_sd,y_true
1999-11-30,1999-12-31,1,1.2317432688409768,0.31365429704152004,1.6680411237561366
1999-11-30,2000-01-31,2,1.1646667601238603,0.44030067452221205,1.5854030553684062
1999-11-30,2000-02-29,3,1.1207864542965207,0.5374306134150241,1.6236983182304154
1999-11-30,2000-05-31,6,1.0384945065744815,0.6193734352365673,1.580529503071637
1999-11-30,2000-11-30,12,0.878516325248903,0.6916165267757574,1.9125152331664896
1999-12-31,2000-01-31,1,1.652853169529506,0.31255041001767164,1.5854030553684062
1999-12-31,2000-02-29,2,1.594631010192669,0.4392495732636733,1.6236983182304154
1999-12-31,2000-03-31,3,1.5762482431297777,0.5360988018169784,1.4829300267657164
1999-12-31,2000-06-30,6,1.4910887689241155,0.6178125803830491,1.8391886388475556
1999-12-31,2000-12-31,12,1.3332944061259713,0.6898743619095314,1.4933702493997505
2000-01-31,2000-02-29,1,1.5333587148299443,0.3216444058034238,1.6236983182304154
2000-01-31,2000-03-31,2,1.516144649085043,0.44725186026845504,1.4829300267657164
2000-01-31,2000-04-30,3,1.4481077038726984,0.5432251259565495,1.402478195003254
2000-01-31,2000-07-31,6,1.3661785730363647,0.6241842344359532,1.888825214899725
2000-01-31,2001-01-31,12,1.216303144176836,0.6955626793812212,1.295473350601983
2000-02-29,2000-03-31,1,1.5781624150143825,0.31204803368090056,1.4829300267657164
2000-02-29,2000-04-30,2,1.5348320675680265,0.43865507246366214,1.402478195003254
2000-02-29,2000-05-31,3,1.5253101562846856,0.535415203833479,1.580529503071637
2000-02-29,2000-08-31,6,1.4595637113345363,0.6170161038435934,1.1247378236676209
2000-02-29,2001-02-28,12,1.3199519384725276,0.6889692869632283,0.7797761829277938
2000-03-31,2000-04-30,1,1.629983799924135,0.352141586727236,1.402478195003254
2000-03-31,2000-05-31,2,1.580035409606332,0.4708221927913892,1.580529503071637
2000-03-31,2000-06-30,3,1.55885584366574,0.5623236917232761,1.8391886388475556
2000-03-31,2000-09-30,6,1.4734253474692578,0.6404278938429525,1.4399424109766024
2000-03-31,2001-03-31,12,1.340874760406654,0.709887773224332,0.975860242603277
2000-04-30,2000-05-31,1,1.45884132285955,0.31009768815480443,1.580529503071637
2000-04-30,2000-06-30,2,1.4482798847535479,0.4357741629037624,1.8391886388475556
2000-04-30,2000-07-31,3,1.413050630675685,0.5321190975698431,1.888825214899725
2000-04-30,2000-10-31,6,1.3445724673778288,0.6134568661141598,1.3321928166966313
2000-04-30,2001-04-30,12,1.2173818776407535,0.6851916945238231,1.1665677138456454
2000-05-31,2000-06-30,1,1.6485556549694071,0.31311452749264657,1.8391886388475556
2000-05-31,2000-07-31,2,1.6456259321406073,0.43786596334323086,1.888825214899725
2000-05-31,2000-08-31,3,1.639271802055342,0.5335462088736006,1.1247378236676209
2000-05-31,2000-11-30,6,1.5811731123393713,0.6143897473006618,1.9125152331664896
2000-05-31,2001-05-31,12,1.4551198645952248,0.6857179912082317,1.7656699441179755
2000-06-30,2000-07-31,1,1.8504676704517002,0.3075872830227315,1.888825214899725
2000-06-30,2000-08-31,2,1.859763168597143,0.43286158265620595,1.1247378236676209
2000-06-30,2000-09-30,3,1.8561231131565465,0.528884677935042,1.4399424109766024
2000-06-30,2000-12-31,6,1.8076414218714196,0.6099205310676382,1.4933702493997505
2000-06-30,2001-06-30,12,1.6825152641801941,0.6813618402963795,1.5804009271628283
2000-07-31,2000-08-31,1,2.1225422893162436,0.30985844435610305,1.1247378236676209
2000-07-31,2000-09-30,2,2.1690982063490263,0.4348812736592878,1.4399424109766024
2000-07-31,2000-10-31,3,2.164087233684143,0.530223588505395,1.3321928166966313
2000-07-31,2001-01-31,6,2.1106250112400406,0.6107699025516753,1.295473350601983
2000-07-31,2001-07-31,12,1.9988537463783662,0.6818488760725843,1.3515757491999958
2000-08-31,2000-09-30,1,1.2241963805851581,0.3114737258732298,1.4399424109766024
2000-08-31,2000-10-31,2,1.2463386715964218,0.43498536546005456,1.3321928166966313
2000-08-31,2000-11-30,3,1.2476902632906637,0.5298905850183466,1.9125152331664896
2000-08-31,2001-02-28,6,1.1987746543880233,0.6101242909831618,0.7797761829277938
2000-08-31,2001-08-31,12,1.092095661333415,0.6809475417976518,1.0507897840419167
2000-09-30,2000-10-31,1,1.5225646712845649,0.3112014068649828,1.3321928166966313
2000-09-30,2000-11-30,2,1.534059167677926,0.4344907891351992,1.9125152331664896
2000-09-30,2000-12-31,3,1.5074924669037015,0.5292176033970162,1.4933702493997505
2000-09-30,2001-03-31,6,1.4519810281889292,0.6092872478786256,0.975860242603277
2000-09-30,2001-09-30,12,1.3467350274615129,0.6799640912386578,0.6750170998632177
2000-10-31,2000-11-30,1,1.091827373741277,0.3091644578596112,1.9125152331664896
2000-10-31,2000-12-31,2,1.0147690244497158,0.4324184384619496,1.4933702493997505
2000-10-31,2001-01-31,3,0.9637708252079785,0.5270759313988116,1.295473350601983
2000-10-31,2001-04-30,6,0.8835121494866928,0.6070630909412849,1.1665677138456454
2000-10-31,2001-10-31,12,0.7643536020999878,0.67764564664186,0.6302712059888194
2000-11-30,2000-12-31,1,2.1800702597034127,0.3076455555601094,1.4933702493997505
2000-11-30,2001-01-31,2,2.222590795391941,0.4315229658359842,1.295473350601983
2000-11-30,2001-02-28,3,2.234433337255009,0.52628215703691,0.7797761829277938
2000-11-30,2001-05-31,6,2.1947826734824742,0.6063358463974535,1.7656699441179755
2000-11-30,2001-11-30,12,2.103723526956032,0.6769686235512979,0.2869668087480681
2000-12-31,2001-01-31,1,1.591407437389995,0.31074843245392403,1.295473350601983
2000-12-31,2001-02-28,2,1.5782756921420276,0.4339913343772891,0.7797761829277938
2000-12-31,2001-03-31,3,1.575654649489045,0.5284473628554165,0.975860242603277
2000-12-31,2001-06-30,6,1.5283013060592918,0.6081246513572927,1.5804009271628283
2000-12-31,2001-12-31,12,1.4394193568958975,0.6783615058741604,0.3252247375397976
2001-01-31,2001-02-28,1,1.2183782484072587,0.32033324273538527,0.7797761829277938
2001-01-31,2001-03-31,2,1.2633056706059957,0.4407422149247364,0.975860242603277
2001-01-31,2001-04-30,3,1.2329009293775806,0.5337414866881419,1.1665677138456454
2001-01-31,2001-07-31,6,1.1974416986487002,0.6124400152651573,1.3515757491999958
2001-01-31,2002-01-31,12,1.1059025396544562,0.6819792086449991,0.5214581633795623
2001-02-28,2001-03-31,1,0.7656307215359681,0.30798320573107496,0.975860242603277
2001-02-28,2001-04-30,2,0.7842843479559489,0.4303069288564832,1.1665677138456454
2001-02-28,2001-05-31,3,0.785156309681207,0.5243673166394263,1.7656699441179755
2001-02-28,2001-08-31,6,0.7465068709596347,0.6038052671688774,1.0507897840419167
2001-02-28,2002-02-28,12,0.6579499452750742,0.6738996495306432,0.654467173596629
2001-03-31,2001-04-30,1,1.008585204073828,0.3106217885704967,1.1665677138456454
2001-03-31,2001-05-31,2,1.0187648732412982,0.4320190648287775,1.7656699441179755
2001-03-31,2001-06-30,3,1.0007612824779464,0.5252913807369981,1.5804009271628283
2001-03-31,2001-09-30,6,0.9542133535018759,0.6042675600177968,0.6750170998632177
2001-03-31,2002-03-31,12,0.8598335258568403,0.6740406475790853,0.509494247800335
2001-04-30,2001-05-31,1,1.1284432080836142,0.3101230807441165,1.7656699441179755
2001-04-30,2001-06-30,2,1.0930228646980724,0.4310641474063493,1.5804009271628283
2001-04-30,2001-07-31,3,1.0810116578618465,0.5241213975719065,1.3515757491999958
2001-04-30,2001-10-31,6,1.0387708073911648,0.6029452302533349,0.6302712059888194
2001-04-30,2002-04-30,12,0.9402904985817833,0.6725797558365928,1.0971930145378117
2001-05-31,2001-06-30,1,2.0034920218296315,0.30759145916948744,1.5804009271628283
2001-05-31,2001-07-31,2,2.051765036460531,0.4298925471453129,1.3515757491999958
2001-05-31,2001-08-31,3,2.0572935310201945,0.5230470608687454,1.0507897840419167
2001-05-31,2001-11-30,6,2.022032726743318,0.6018446516135839,0.2869668087480681
2001-05-31,2002-05-31,12,1.939835221041144,0.6714269827463574,0.6479945267303
2001-06-30,2001-07-31,1,1.6899822301195877,0.3201540454006497,1.3515757491999958
2001-06-30,2001-08-31,2,1.648436917796256,0.4390378657286823,1.0507897840419167
2001-06-30,2001-09-30,3,1.606824787251854,0.5305281228362801,0.6750170998632177
2001-06-30,2001-12-31,6,1.5615014733085664,0.6080933293698393,0.3252247375397976
2001-06-30,2002-06-30,12,1.4785630352746844,0.6767398367554506,0.3259175137390935
2001-07-31,2001-08-31,1,1.3285273738533119,0.3021371623700125,1.0507897840419167
2001-07-31,2001-09-30,2,1.318117234009538,0.42327660613265106,0.6750170998632177
2001-07-31,2001-10-31,3,1.2973835435801366,0.5166471117825444,0.6302712059888194
2001-07-31,2002-01-31,6,1.251380760001975,0.595540109016182,0.5214581633795623
2001-07-31,2002-07-31,12,1.1683894985464356,0.6651329146953993,-0.0515831699337776
2001-08-31,2001-09-30,1,0.8963943828565641,0.3206772573666067,0.6750170998632177
2001-08-31,2001-10-31,2,0.9182901462077642,0.44033545109685646,0.6302712059888194
2001-08-31,2001-11-30,3,0.9227374283612808,0.5329136963880784,0.2869668087480681
2001-08-31,2002-02-28,6,0.8765636779283457,0.6114920928451602,0.654467173596629
2001-08-31,2002-08-31,12,0.7718498677879362,0.6810222713598892,0.4725780375575139
2001-09-30,2001-10-31,1,0.8033385825869467,0.31730085450701384,0.6302712059888194
2001-09-30,2001-11-30,2,0.7535253375654812,0.44001219395435315,0.2869668087480681
2001-09-30,2001-12-31,3,0.7179130491657935,0.5332407211200844,0.3252247375397976
2001-09-30,2002-03-31,6,0.671977401687105,0.612185206419844,0.509494247800335
2001-09-30,2002-09-30,12,0.5790051457175025,0.6819900493301104,0.4968173962522026
2001-10-31,2001-11-30,1,0.5601588215088604,0.3030785989311984,0.2869668087480681
2001-10-31,2001-12-31,2,0.5582572651389618,0.42701180319189597,0.3252247375397976
2001-10-31,2002-01-31,3,0.545993003758855,0.5220557422488266,0.5214581633795623
2001-10-31,2002-04-30,6,0.4932568392160993,0.6022397910321877,1.0971930145378117
2001-10-31,2002-10-31,12,0.39500744314950065,0.6729241764539693,1.2372311199190245
2001-11-30,2001-12-31,1,0.41140355864480305,0.3102372477661139,0.3252247375397976
2001-11-30,2002-01-31,2,0.41144050908935936,0.4341876931208036,0.5214581633795623
2001-11-30,2002-02-28,3,0.3977362922219066,0.5294361056362705,0.654467173596629
2001-11-30,2002-05-31,6,0.3630098935084834,0.6099289672824204,0.6479945267303
2001-11-30,2002-11-30,12,0.28729804498306466,0.6809534317537487,0.9154537771227876
2001-12-31,2002-01-31,1,0.08979736668511035,0.31266275962637063,0.5214581633795623
2001-12-31,2002-02-28,2,0.0561329342131045,0.4383149070920056,0.654467173596629
2001-12-31,2002-03-31,3,0.04532633993553725,0.5339427774583652,0.509494247800335
2001-12-31,2002-06-30,6,-0.017318242558272634,0.6146396984299892,0.3259175137390935
2001-12-31,2002-12-31,12,-0.11826210244741647,0.6858543903751984,0.8908314568551567
2002-01-31,2002-02-28,1,0.6064908675159507,0.3246767450870945,0.654467173596629
2002-01-31,2002-03-31,2,0.6295234661133655,0.4466089719012756,0.509494247800335
2002-01-31,2002-04-30,3,0.6153211470591914,0.5406898591974573,1.0971930145378117
2002-01-31,2002-07-31,6,0.5720291060981728,0.6203279257003214,-0.0515831699337776
2002-01-31,2003-01-31,12,0.48113382017429773,0.6907138735892934,0.8466601955136932
2002-02-28,2002-03-31,1,0.5299127333233735,0.3232907272423475,0.509494247800335
2002-02-28,2002-04-30,2,0.5282631970975239,0.4456413922591644,1.0971930145378117
2002-02-28,2002-05-31,3,0.5165608089562932,0.540265077214884,0.6479945267303
2002-02-28,2002-08-31,6,0.4658395823478234,0.6205558020698144,0.4725780375575139
2002-02-28,2003-02-28,12,0.35491811100270393,0.6915712608842508,0.949060911336108
2002-03-31,2002-04-30,1,0.6325740179053011,0.32383828736562786,1.0971930145378117
2002-03-31,2002-05-31,2,0.6710140355064144,0.4463770473270863,0.6479945267303
2002-03-31,2002-06-30,3,0.6871867510090999,0.5412042581709244,0.3259175137390935
2002-03-31,2002-09-30,6,0.6511520245601506,0.6215754439560649,0.4968173962522026
2002-03-31,2003-03-31,12,0.5543907927963422,0.692559869605607,1.3390356906471057
2002-04-30,2002-05-31,1,1.1119618535565838,0.3073243501171845,0.6479945267303
2002-04-30,2002-06-30,2,1.072675658907756,0.4329841068954103,0.3259175137390935
2002-04-30,2002-07-31,3,1.0486818211518667,0.5293999657102231,-0.0515831699337776
2002-04-30,2002-10-31,6,0.9972718039460281,0.6107580832983928,1.2372311199190245
2002-04-30,2003-04-30,12,0.8986028122387335,0.682474437398877,0.6718883754582627
2002-05-31,2002-06-30,1,0.8714539576816117,0.31946067803529216,0.3259175137390935
2002-05-31,2002-07-31,2,0.8585134923025165,0.44413098334905876,-0.0515831699337776
2002-05-31,2002-08-31,3,0.832731364079334,0.5399457199669174,0.4725780375575139
2002-05-31,2002-11-30,6,0.8001890808372888,0.6209276760641852,0.9154537771227876
2002-05-31,2003-05-31,12,0.7259171762631802,0.6924337499435186,0.4141561122697146
2002-06-30,2002-07-31,1,0.19228531590681205,0.31621799559731956,-0.0515831699337776
2002-06-30,2002-08-31,2,0.1627345071763628,0.4418250481896479,0.4725780375575139
2002-06-30,2002-09-30,3,0.14654337597054895,0.5381536317756287,0.4968173962522026
2002-06-30,2002-12-31,6,0.10185685567002059,0.6195325615451461,0.8908314568551567
2002-06-30,2003-06-30,12,0.012058928096697286,0.6913633405938512,0.5479887267283656
2002-07-31,2002-08-31,1,-0.20693717257559277,0.3125285708070261,0.4725780375575139
2002-07-31,2002-09-30,2,-0.21658784646681742,0.43817652555975195,0.4968173962522026
2002-07-31,2002-10-31,3,-0.23452983340880723,0.5346920963183693,1.2372311199190245
2002-07-31,2003-01-31,6,-0.29333441560540063,0.616160045459232,0.8466601955136932
2002-07-31,2003-07-31,12,-0.39065582255963993,0.6880359882478065,0.2704226186258429
2002-08-31,2002-09-30,1,0.5926343858222258,0.3423817869483786,0.4968173962522026
2002-08-31,2002-10-31,2,0.6790695522440922,0.46097092139669976,1.2372311199190245
2002-08-31,2002-11-30,3,0.7060259808093375,0.5532852372792658,0.9154537771227876
2002-08-31,2003-02-28,6,0.6748462039831921,0.6321151428222652,0.949060911336108
2002-08-31,2003-08-31,12,0.5846042725217843,0.702118521941309,0.5372163560058096
2002-09-30,2002-10-31,1,0.2738998981869913,0.32652590143768967,1.2372311199190245
2002-09-30,2002-11-30,2,0.20313983506751254,0.44877041826947445,0.9154537771227876
2002-09-30,2002-12-31,3,0.16028189685193434,0.5435484764691126,0.8908314568551567
2002-09-30,2003-03-31,6,0.08977002714960908,0.6239651609714829,1.3390356906471057
2002-09-30,2003-09-30,12,-0.029312940374695506,0.6951227158684516,0.5304877275857933
2002-10-31,2002-11-30,1,1.0701197883418345,0.31521574504046046,0.9154537771227876
2002-10-31,2002-12-31,2,1.028405583670985,0.44075439026034374,0.8908314568551567
2002-10-31,2003-01-31,3,1.0024301510821605,0.5366760984728155,0.8466601955136932
2002-10-31,2003-04-30,6,0.935819856216106,0.6177560189987024,0.6718883754582627
2002-10-31,2003-10-31,12,0.8187540473074921,0.6893400234832522,0.453683818085393
2002-11-30,2002-12-31,1,0.9016372005226084,0.33280491073179747,0.8908314568551567
2002-11-30,2003-01-31,2,0.8224728919008899,0.4542651540319965,0.8466601955136932
2002-11-30,2003-02-28,3,0.7860238060553277,0.5477917185942884,0.949060911336108
2002-11-30,2003-05-31,6,0.7036737180271633,0.6272671029428523,0.4141561122697146
2002-11-30,2003-11-30,12,0.5796779696815044,0.6976974515324046,0.5125992950707481
2002-12-31,2003-01-31,1,0.875243462784334,0.3171221009684218,0.8466601955136932
2002-12-31,2003-02-28,2,0.8298891705243258,0.4407059315313689,0.949060911336108
2002-12-31,2003-03-31,3,0.8062485996573078,0.5359501454516884,1.3390356906471057
2002-12-31,2003-06-30,6,0.7368836289177094,0.6165671163222225,0.5479887267283656
2002-12-31,2003-12-31,12,0.6176801451032785,0.6877724887678358,0.5937673379536434
2003-01-31,2003-02-28,1,0.7198912377673665,0.33999228226172995,0.949060911336108
2003-01-31,2003-03-31,2,0.7262937607196525,0.4609040437511255,1.3390356906471057
2003-01-31,2003-04-30,3,0.7278427782930039,0.5532861983264076,0.6718883754582627
2003-01-31,2003-07-31,6,0.6927638991535737,0.6318699763436477,0.2704226186258429
2003-01-31,2004-01-31,12,0.5837019572986795,0.7015283181143573,0.1725178987320053
2003-02-28,2003-03-31,1,1.0062176915041197,0.31838504315915583,1.3390356906471057
2003-02-28,2003-04-30,2,1.0230579635718136,0.4407045506805355,0.6718883754582627
2003-02-28,2003-05-31,3,1.0115143364740307,0.5354964594251912,0.4141561122697146
2003-02-28,2003-08-31,6,0.9581491888590755,0.6158174459326895,0.5372163560058096
2003-02-28,2004-02-29,12,0.8526094940857317,0.6868000207398094,0.0906929868994543
2003-03-31,2003-04-30,1,1.4080682910619466,0.3075278319672408,0.6718883754582627
2003-03-31,2003-05-31,2,1.3896609665435282,0.4327113538939054,0.4141561122697146
2003-03-31,2003-06-30,3,1.373107526219482,0.5287458316020539,0.5479887267283656
2003-03-31,2003-09-30,6,1.314489299332364,0.6097741627302317,0.5304877275857933
