cutoff,target_time,horizon_step,prediction,h_step_sd,y_true
1986-01-31,1986-02-28,1,3.763463935939026,0.3529139822030537,3.19849482596426
1986-01-31,1986-03-31,2,3.607767133921092,0.49219117398878315,2.153558052434445
1986-01-31,1986-04-30,3,3.5897738998816004,0.5992501158051102,1.5887850467289688
1986-01-31,1986-07-31,6,3.5960399819791657,0.6897822434014859,1.671309192200554
1986-01-31,1987-01-31,12,3.638600691244693,0.7696948807573188,1.364877161055511
1986-02-28,1986-03-31,1,3.4520959927644004,0.35056752308298855,2.153558052434445
1986-02-28,1986-04-30,2,3.595145948534413,0.490383558870844,1.5887850467289688
1986-02-28,1986-05-31,3,3.686846233856644,0.5976463037438979,1.679104477611948
1986-02-28,1986-08-31,6,3.7519631324182123,0.6882826665087428,1.575532900834098
1986-02-28,1987-02-28,12,3.8081021408170823,0.7682749528998843,1.914311759343668
1986-03-31,1986-04-30,1,2.142996095521651,0.3467799960657362,1.5887850467289688
1986-03-31,1986-05-31,2,2.166205257961134,0.4866718977159699,1.679104477611948
1986-03-31,1986-06-30,3,2.1578713978315234,0.5940906445054405,1.7674418604651132
1986-03-31,1986-09-30,6,2.179718229856569,0.6848290535629818,1.757631822386685
1986-03-31,1987-03-31,12,2.2273263683264126,0.7648702304354371,2.8414298808432603
1986-04-30,1986-05-31,1,1.663070452147869,0.3497128842825288,1.679104477611948
1986-04-30,1986-06-30,2,1.5373756532650438,0.48943713365505237,1.7674418604651132
1986-04-30,1986-07-31,3,1.52179991437225,0.5963896378288377,1.671309192200554
1986-04-30,1986-10-31,6,1.4825270503701593,0.6867063083875242,1.5668202764977046
1986-04-30,1987-04-30,12,1.52020274988107,0.7664020652709216,3.679852805887762
1986-05-31,1986-06-30,1,1.3153158360974861,0.3537374953651602,1.7674418604651132
1986-05-31,1986-07-31,2,1.2729287184644962,0.4922756459851578,1.671309192200554
1986-05-31,1986-08-31,3,1.1701154809062437,0.5985388304921202,1.575532900834098
1986-05-31,1986-11-30,6,1.161381861467385,0.6883316247315943,1.2844036697247765
1986-05-31,1987-05-31,12,1.1890443696725352,0.7676554635239276,3.669724770642202
1986-06-30,1986-07-31,1,1.638334248341686,0.3524430932408516,1.671309192200554
1986-06-30,1986-08-31,2,1.6249514852931808,0.4912380863915962,1.575532900834098
1986-06-30,1986-09-30,3,1.5924729858754982,0.5977949896159958,1.757631822386685
1986-06-30,1986-12-31,6,1.584237351872483,0.6879184215762876,1.187214611872145
1986-06-30,1987-06-30,12,1.6189867900436874,0.7674944380995703,3.7477148080438782
1986-07-31,1986-08-31,1,1.5814857088618617,0.3457854479626632,1.575532900834098
1986-07-31,1986-09-30,2,1.5396592169656544,0.4851305684399767,1.757631822386685
1986-07-31,1986-10-31,3,1.5384357277340655,0.59215526466666,1.5668202764977046
1986-07-31,1987-01-31,6,1.5606595343652296,0.6825575704767823,1.364877161055511
1986-07-31,1987-07-31,12,1.5977505095802587,0.7622996774088238,3.926940639269394
1986-08-31,1986-09-30,1,1.4587690303558656,0.3441058705968894,1.757631822386685
1986-08-31,1986-10-31,2,1.4664482730923014,0.48356966420761593,1.5668202764977046
1986-08-31,1986-11-30,3,1.46916398915657,0.5905196098999804,1.2844036697247765
1986-08-31,1987-02-28,6,1.5055135815117604,0.6807954202068676,1.914311759343668
1986-08-31,1987-08-31,12,1.543904241263843,0.7604162950783612,4.2883211678832245
1986-09-30,1986-10-31,1,1.749708471405906,0.33985340976101297,1.5668202764977046
1986-09-30,1986-11-30,2,1.7356611110962874,0.4796829147519046,1.2844036697247765
1986-09-30,1986-12-31,3,1.75120160578969,0.5869786060293675,1.187214611872145
1986-09-30,1987-03-31,6,1.7654876613798849,0.6774568556114849,2.8414298808432603
1986-09-30,1987-09-30,12,1.7983222590275674,0.7571842545460776,4.2727272727272725
1986-10-31,1986-11-30,1,1.4922108459574965,0.34296505310950903,1.2844036697247765
1986-10-31,1986-12-31,2,1.4506960402503963,0.4819652234171178,1.187214611872145
1986-10-31,1987-01-31,3,1.4199529143989726,0.5886087267002973,1.364877161055511
1986-10-31,1987-04-30,6,1.4014115633276436,0.6785895425581691,3.679852805887762
1986-10-31,1987-10-31,12,1.4270254162222766,0.757935138506323,4.355716878402904
1986-11-30,1986-12-31,1,1.304095081876821,0.34741038210454944,1.187214611872145
1986-11-30,1987-01-31,2,1.328978807738174,0.48567161530622394,1.364877161055511
1986-11-30,1987-02-28,3,1.3106266292179805,0.5916968759318073,1.914311759343668
1986-11-30,1987-05-31,6,1.2987028813264692,0.681286930768951,3.669724770642202
1986-11-30,1987-11-30,12,1.3355565966290097,0.7603609210145429,4.528985507246386
1986-12-31,1987-01-31,1,1.19021049175113,0.3555188370320695,1.364877161055511
1986-12-31,1987-02-28,2,1.2317230465061488,0.4919649719129889,1.914311759343668
1986-12-31,1987-03-31,3,1.224980618868835,0.5968145922554391,2.8414298808432603
1986-12-31,1987-06-30,6,1.2500915379420916,0.6855791617635018,3.7477148080438782
1986-12-31,1987-12-31,12,1.2961548063266843,0.7640565964955502,4.332129963898912
1987-01-31,1987-02-28,1,1.1749840078358962,0.34446796478451847,1.914311759343668
1987-01-31,1987-03-31,2,1.1354200528685339,0.48245129691638033,2.8414298808432603
1987-01-31,1987-04-30,3,1.0763471600179846,0.5884747756141587,3.679852805887762
1987-01-31,1987-07-31,6,1.0770078237853247,0.6780259785573322,3.926940639269394
1987-01-31,1988-01-31,12,1.1224444304509216,0.7570461674022143,4.129263913824044
1987-02-28,1987-03-31,1,1.3139324404738861,0.37509121964129283,2.8414298808432603
1987-02-28,1987-04-30,2,1.1176182460126147,0.5099392887337364,3.679852805887762
1987-02-28,1987-05-31,3,0.9885615663664904,0.6129789703434052,3.669724770642202
1987-02-28,1987-08-31,6,0.9745745464825775,0.7003520024594383,4.2883211678832245
1987-02-28,1988-02-29,12,0.9892324243950569,0.7778574434189877,3.935599284436497
1987-03-31,1987-04-30,1,2.629541315568669,0.39421971032752173,3.679852805887762
1987-03-31,1987-05-31,2,2.5111725977208197,0.5293766416953122,3.669724770642202
1987-03-31,1987-06-30,3,2.5437882162483056,0.6297423664086556,3.7477148080438782
1987-03-31,1987-09-30,6,2.5397085278366123,0.7152831398106605,4.2727272727272725
1987-03-31,1988-03-31,12,2.5448619582604395,0.7913838189095455,3.832442067736186
1987-04-30,1987-05-31,1,3.435342036000861,0.3695310881931931,3.669724770642202
1987-04-30,1987-06-30,2,3.3554115757466123,0.5062163796885927,3.7477148080438782
1987-04-30,1987-07-31,3,3.3197260733379843,0.6100696573448811,3.926940639269394
1987-04-30,1987-10-31,6,3.279724964909726,0.6980311993212827,4.355716878402904
