cutoff,target_time,horizon_step,prediction,h_step_sd,y_true
1986-01-31,1986-02-28,1,3.7656459025827007,0.35673556037909515,3.19849482596426
1986-01-31,1986-03-31,2,3.626515713110169,0.4979562162363658,2.153558052434445
1986-01-31,1986-04-30,3,3.607605278817658,0.6065230458806213,1.5887850467289688
1986-01-31,1986-07-31,6,3.6070672977686686,0.6982891143607665,1.671309192200554
1986-01-31,1987-01-31,12,3.6356693607292367,0.7792815671441861,1.364877161055511
1986-02-28,1986-03-31,1,3.4228220712852044,0.35439779135024935,2.153558052434445
1986-02-28,1986-04-30,2,3.550822681349677,0.4961202554695141,1.5887850467289688
1986-02-28,1986-05-31,3,3.6350304088599286,0.6048935695956399,1.679104477611948
1986-02-28,1986-08-31,6,3.688943702633792,0.6967910537869028,1.575532900834098
1986-02-28,1987-02-28,12,3.729573225827932,0.7778771677134986,1.914311759343668
1986-03-31,1986-04-30,1,2.146158270775811,0.34968432503167723,1.5887850467289688
1986-03-31,1986-05-31,2,2.181809579912484,0.49165900950931507,1.679104477611948
1986-03-31,1986-06-30,3,2.1832585205095847,0.6007365878768298,1.7674418604651132
1986-03-31,1986-09-30,6,2.2015103637228512,0.6928288144109129,1.757631822386685
1986-03-31,1987-03-31,12,2.2304143537874066,0.7740282076650334,2.8414298808432603
1986-04-30,1986-05-31,1,1.6332198566529015,0.3526142844725055,1.679104477611948
1986-04-30,1986-06-30,2,1.5174807645374904,0.49434925600507795,1.7674418604651132
1986-04-30,1986-07-31,3,1.483905952171667,0.6028847423124175,1.671309192200554
1986-04-30,1986-10-31,6,1.4396794256615508,0.6945134735868451,1.5668202764977046
1986-04-30,1987-04-30,12,1.4544348940474257,0.7753592192346179,3.679852805887762
1986-05-31,1986-06-30,1,1.3495737400915777,0.3577600089018531,1.7674418604651132
1986-05-31,1986-07-31,2,1.2857913755564219,0.4980592455339581,1.671309192200554
1986-05-31,1986-08-31,3,1.193858168000828,0.6056199496375926,1.575532900834098
1986-05-31,1986-11-30,6,1.176626763572399,0.6965991879956663,1.2844036697247765
1986-05-31,1987-05-31,12,1.1891683344674355,0.7769694790782857,3.669724770642202
1986-06-30,1986-07-31,1,1.6689563700080818,0.35514854563758746,1.671309192200554
1986-06-30,1986-08-31,2,1.6428295054524242,0.4953841035556449,1.575532900834098
1986-06-30,1986-09-30,3,1.6047955045281495,0.60299505921178,1.757631822386685
1986-06-30,1986-12-31,6,1.583791961436572,0.6940235749558077,1.187214611872145
1986-06-30,1987-06-30,12,1.5942944042531988,0.7744100760455592,3.7477148080438782
1986-07-31,1986-08-31,1,1.5711615172179934,0.34911530762380827,1.575532900834098
1986-07-31,1986-09-30,2,1.5295534228652108,0.4901207585837978,1.757631822386685
1986-07-31,1986-10-31,3,1.5301262687749344,0.5984750048217251,1.5668202764977046
1986-07-31,1987-01-31,6,1.544788662620374,0.6899837327162033,1.364877161055511
1986-07-31,1987-07-31,12,1.5632478364231621,0.7706955774448168,3.926940639269394
1986-08-31,1986-09-30,1,1.468540967673614,0.3479642702948526,1.757631822386685
1986-08-31,1986-10-31,2,1.4641517982385759,0.4891012658621923,1.5668202764977046
1986-08-31,1986-11-30,3,1.4680179313483745,0.5974003749810608,1.2844036697247765
1986-08-31,1987-02-28,6,1.4954300815904114,0.6888237327520447,1.914311759343668
1986-08-31,1987-08-31,12,1.5185283593753574,0.7694475631720598,4.2883211678832245
1986-09-30,1986-10-31,1,1.7440163066948555,0.34368641097023866,1.5668202764977046
1986-09-30,1986-11-30,2,1.725434931283019,0.48510189827484135,1.2844036697247765
1986-09-30,1986-12-31,3,1.7327413478558804,0.5936816746771013,1.187214611872145
1986-09-30,1987-03-31,6,1.7404669220202977,0.6852574430620825,2.8414298808432603
1986-09-30,1987-09-30,12,1.754490031168358,0.7659576901607879,4.2727272727272725
1986-10-31,1986-11-30,1,1.4955749344372113,0.34663269681938275,1.2844036697247765
1986-10-31,1986-12-31,2,1.461931107271879,0.4873106054373687,1.187214611872145
1986-10-31,1987-01-31,3,1.4356310826988743,0.595257441185648,1.364877161055511
1986-10-31,1987-04-30,6,1.4159381483954137,0.6863476884008797,3.679852805887762
1986-10-31,1987-10-31,12,1.4269308263623062,0.7666795160136699,4.355716878402904
1986-11-30,1986-12-31,1,1.3060809772760447,0.3505491508673499,1.187214611872145
1986-11-30,1987-01-31,2,1.3180191967961792,0.4903940682409838,1.364877161055511
1986-11-30,1987-02-28,3,1.2965811657822628,0.597721274991591,1.914311759343668
1986-11-30,1987-05-31,6,1.2775324372279973,0.6884268532793625,3.669724770642202
1986-11-30,1987-11-30,12,1.2916720539905873,0.7684771675198702,4.528985507246386
1986-12-31,1987-01-31,1,1.216715865186261,0.3574495406492445,1.364877161055511
1986-12-31,1987-02-28,2,1.2504966321056403,0.49565363938417617,1.914311759343668
1986-12-31,1987-03-31,3,1.235303238109273,0.6019543767820591,2.8414298808432603
1986-12-31,1987-06-30,6,1.2488143369573603,0.691957069603113,3.7477148080438782
1986-12-31,1987-12-31,12,1.268554734982689,0.7714927320640944,4.332129963898912
1987-01-31,1987-02-28,1,1.1971758428407644,0.34830459493812943,1.914311759343668
1987-01-31,1987-03-31,2,1.1511185239837682,0.48799309243002303,2.8414298808432603
1987-01-31,1987-04-30,3,1.0992583474516824,0.5953327312175994,3.679852805887762
1987-01-31,1987-07-31,6,1.092287480374476,0.6859903299359347,3.926940639269394
1987-01-31,1988-01-31,12,1.1192146287487892,0.7659736265459142,4.129263913824044
1987-02-28,1987-03-31,1,1.3328702001902422,0.37829519243740495,2.8414298808432603
1987-02-28,1987-04-30,2,1.127127955520524,0.5152615191551659,3.679852805887762
1987-02-28,1987-05-31,3,1.006264837403813,0.6198272367392793,3.669724770642202
1987-02-28,1987-08-31,6,0.9884444373927486,0.7086261608545317,4.2883211678832245
1987-02-28,1988-02-29,12,0.9949280892866819,0.7874059610729612,3.935599284436497
1987-03-31,1987-04-30,1,2.6543509257469466,0.39892204257550673,3.679852805887762
1987-03-31,1987-05-31,2,2.5140705167251336,0.5359722065906123,3.669724770642202
1987-03-31,1987-06-30,3,2.5298366354968183,0.6386736263990734,3.7477148080438782
1987-03-31,1987-09-30,6,2.5184850112898043,0.7263705066197373,4.2727272727272725
1987-03-31,1988-03-31,12,2.523328954505521,0.8044153775912085,3.832442067736186
1987-04-30,1987-05-31,1,3.4355691898664995,0.3755921444866042,3.669724770642202
1987-04-30,1987-06-30,2,3.333102753458947,0.5141857536899868,3.7477148080438782
1987-04-30,1987-07-31,3,3.299891090755921,0.6199823660790997,3.926940639269394
1987-04-30,1987-10-31,6,3.2642704673960594,0.7097161326912204,4.355716878402904
1987-04-30,1988-04-30,12,3.2629567378704576,0.7892335718781328,3.9929015084294575
1987-05-31,1987-06-30,1,3.6940107872867265,0.3622998636617713,3.7477148080438782
1987-05-31,1987-07-31,2,3.681349424546518,0.5014015472713456,3.926940639269394
1987-05-31,1987-08-31,3,3.7077554308375964,0.608762388803727,4.2883211678832245
1987-05-31,1987-11-30,6,3.7184661320462626,0.6997875494427275,4.528985507246386
1987-05-31,1988-05-31,12,3.7215127700308455,0.7802556779060167,3.9823008849557473
1987-06-30,1987-07-31,1,3.4304116251303256,0.3641472738293934,3.926940639269394
1987-06-30,1987-08-31,2,3.42627197420434,0.5031846090865565,4.2883211678832245
1987-06-30,1987-09-30,3,3.35647919520459,0.6103230502454796,4.2727272727272725
1987-06-30,1987-12-31,6,3.353920668016757,0.7010184252389281,4.332129963898912
1987-06-30,1988-06-30,12,3.356637707718642,0.781216163118515,3.96475770925111
1987-07-31,1987-08-31,1,3.9576928060815053,0.3526495769487075,4.2883211678832245
1987-07-31,1987-09-30,2,3.9458238895691813,0.4933733611666653,4.2727272727272725
1987-07-31,1987-10-31,3,3.929655438096654,0.6015617868073437,4.355716878402904
1987-07-31,1988-01-31,6,3.9117964304850408,0.6930050921165466,4.129263913824044
1987-07-31,1988-07-31,12,3.9126093288693213,0.7737081770423868,4.130052724077338
1987-08-31,1987-09-30,1,4.544319862542766,0.3687214503925162,4.2727272727272725
