cutoff,target_time,horizon_step,y_true,q025,q05,q10,q20,q25,q30,q40,q50,q60,q70,q75,q80,q90,q95,q975,mean_vec
2010-10-31,2010-11-30,1,1.9058280123447344,-0.43825133186448595,-0.1744622814614629,0.005406387942584495,0.940657190398374,1.1417033080875518,1.3057569390036812,1.580858964138137,1.7336521489816354,1.8536127059556664,2.1006147012241563,2.458996927701679,3.0658728642270026,3.5542458106492574,3.7541568307021707,3.95209294658195,1.8165987152451337
2010-11-30,2010-12-30,1,2.2023205218023145,-0.45444756951383036,-0.17196081109644012,0.4213368917958729,1.0691203726388863,1.252293857552687,1.448110639289963,1.6251692675827705,1.7613861821372923,1.90573842252877,2.1037153584920567,2.5033772258405453,3.0933229039061474,3.560435405727499,3.7595737804180054,3.9423470330499066,1.8915020600792665
2010-12-31,2011-01-31,1,2.4208800334111658,-0.32269442123812636,-0.15776616267169172,0.5954232148076987,1.2893607249174057,1.5647125980763565,1.602183933293627,1.7611196219131025,1.9142843498688615,2.1880445794454118,2.459116050302813,3.045107039570774,3.185309331011081,3.6374479526735533,3.8046500285439953,3.9798938872037275,2.0728238516205972
2011-01-31,2011-02-28,1,2.609852934503376,-0.22929116579833952,-0.043957537666143826,0.9079699362195416,1.489240553677188,1.600601815398258,1.7430666012217895,1.907751888900622,2.1281090185113123,2.346713390592372,2.5015655947757494,3.0590413332365074,3.2148199314528143,3.639669064184468,3.799484712156242,3.9788869622207494,2.193713495767162
2011-02-28,2011-03-28,1,2.63127617196548,-0.17528242604721683,0.10342547606664303,0.9778331991930511,1.575528933277959,1.6448041591898184,1.7634117224173507,1.965102869054168,2.1981240050772293,2.417446391997873,2.608549838178239,3.08929121813741,3.2371231545194714,3.6459825058896502,3.839422266160528,3.991601116261069,2.270083485571252
2011-03-31,2011-04-30,1,2.6506902297918744,-0.18936116778087222,0.245985513790795,1.0562185272113938,1.6075959301323615,1.7535255685565663,1.8909041207963764,2.1014208668974796,2.3062844674860314,2.459761021940782,2.628255711534098,3.0759847942982947,3.235291068640702,3.6448131041505687,3.843978492683894,3.992054751001572,2.308685306664992
2011-04-30,2011-05-30,1,2.6513738871934533,-0.17320226877596234,0.3856295273401724,1.1423290858947455,1.6865058111255722,1.8257611911403457,1.9149036810204483,2.1904662669606294,2.410155342931996,2.606557914748242,2.6590147630980296,3.110817606081071,3.242807403423979,3.6450050681851733,3.8347791409903014,3.9896029381248996,2.3750123934557563
2011-05-31,2011-06-30,1,2.593861143013876,-0.17080727457807193,0.5250723852806674,1.186967146386897,1.645747130076762,1.7778659011973041,1.9167770535992699,2.1862133699582125,2.407940141803066,2.6114515098240108,2.6511620355625487,3.0961804778411564,3.2371792486408464,3.639411477841572,3.7722212963213324,3.962462933066416,2.375408646815161
2011-06-30,2011-07-30,1,2.684959573070178,-0.17091890613359453,0.4689791521705439,1.157137588709803,1.6348253977456917,1.7637926483562671,1.9059698765731088,2.1856275330702357,2.4115387133607493,2.594951485108973,2.6471748939999484,2.7200741510209547,3.145690480857736,3.6265250100382147,3.7519917472537565,3.936939954321819,2.3316273201298325
2011-07-31,2011-08-31,1,2.753747291211628,-0.1568813369836483,0.5827260004967714,1.4206082810987852,1.7622710522659084,1.9102665439197466,2.1022703788208514,2.4009420330719644,2.5892528715745344,2.633443710195942,2.6681288562180976,3.0627292587149073,3.230109888912015,3.643353475180291,3.784456703373074,3.959627851496262,2.451247762044231
2011-08-31,2011-09-30,1,2.8731837256162684,-0.153330168966699,0.5408745451611061,1.1895507298723873,1.7610701258189314,1.9115253370732723,2.1012626706263924,2.33015527398256,2.5834744147463824,2.6374775439716704,2.6845712793672947,2.863726924067903,3.131763506139861,3.6128138899916693,3.7546032508744545,3.948113831516358,2.412670342650827
2011-09-30,2011-10-30,1,2.954160481596535,0.011620396223981283,0.8815251299287521,1.5628845301383685,1.905705269709585,2.1003281362196726,2.1922780874052386,2.439868780452176,2.6131649278817988,2.6524648553729047,2.802383256517846,3.047332123227765,3.1984682873794554,3.63688732993169,3.773189451398333,3.9778499968519583,2.5141657568256792
2011-10-31,2011-11-30,1,2.9713191578955023,-0.04235605349789852,0.9129933489195166,1.5660409519865977,1.9170140202484036,2.1059473376539097,2.2652587123148162,2.5834847447181133,2.631405091598656,2.671023672935655,2.866124573180165,2.965095974629296,3.1407271589894625,3.6136310004674126,3.767501478079482,3.9679564818587987,2.541138420112733
2011-11-30,2011-12-30,1,2.7276595975395335,-0.039238817703780404,0.9528778541377727,1.5670793631735516,2.021850291123261,2.1898025023684453,2.4054244705303085,2.6023987806144433,2.650915231705317,2.7552682121397525,2.9617163772403785,3.047824242672353,3.1995211643169803,3.61794239872072,3.776005957572608,3.9757207690165255,2.593767450107705
2011-12-31,2012-01-31,1,2.6688553923178704,-0.09381426668236816,0.964327356179997,1.567121056684092,2.027522878744179,2.1973481783261692,2.415869875870046,2.612967429775052,2.651343868013388,2.7355491459665764,2.928211881068069,2.9696631138445975,3.155335785759283,3.5996758745081405,3.7518985636328592,3.9501787263890433,2.586046661281049
2012-01-31,2012-02-29,1,2.7444374609818745,0.46652962573849766,1.122631817454726,1.5810715211739947,2.105221823896526,2.36752072950099,2.477871475135435,2.624553962548097,2.6550823225192484,2.7104360472495412,2.875696946711373,2.95949149533677,3.0616491890647084,3.5556252596924742,3.7558510845467508,3.953481726743356,2.5946504951327345
2012-02-29,2012-03-29,1,2.7032415973407664,0.313631483034761,1.1313488399786278,1.5967735672639871,2.1078055504100446,2.3859709389103565,2.5800098004299663,2.6297869133524605,2.6604362021901786,2.7278407939437255,2.805987463655775,2.9222574623889694,2.9671985435410924,3.494640064375916,3.7235958575865133,3.933602355781253,2.5821170025118403
2012-03-31,2012-04-30,1,2.6009696811680083,0.34381230430195053,1.1421826866037466,1.5970258910941952,2.178893458589755,2.4083305688630756,2.5861432150759587,2.642788769527867,2.6690455056902223,2.7078243258096975,2.7516759996969675,2.8766636577115574,2.9596982489485635,3.340862654625957,3.6883045918752937,3.8943758753981146,2.5753783229299865
2012-04-30,2012-05-30,1,2.433443351247244,0.01313643930458272,1.0945253393888084,1.5995528475326024,2.1785744439489996,2.4028363405606243,2.581590919390751,2.606691327883273,2.651049395317059,2.6870879581915323,2.740490770320557,2.765300503376344,2.9178290145027947,3.2357556883079224,3.6436234855164717,3.7815072567947485,2.5320427767205493
2012-05-31,2012-06-30,1,2.405633434117349,0.029445441117971122,1.1213417219094899,1.5852487149214725,2.1038398304779244,2.284099744595644,2.4226444585768987,2.5926192246691158,2.6265535023359154,2.6674582428528395,2.723625109474896,2.7472477047929136,2.853909710960736,3.0998428803415528,3.5776645356868895,3.7174673514459764,2.483265556531288
2012-06-30,2012-07-30,1,2.375417033291738,0.1788184136254762,1.0880789566572164,1.5671239531205658,1.9208118562893668,2.124588392438798,2.2946766535817744,2.419417513057402,2.590032899642019,2.631430573414321,2.677562537637864,2.7087651248774174,2.744923329548362,2.9629444043361506,3.2563911227958067,3.6409682197933826,2.390534825300924
2012-07-31,2012-08-31,1,2.5657184189926907,0.45436545535436773,1.1454552988661502,1.6290243188860105,2.074718484304133,2.194989133374363,2.3441259466691595,2.4098161474180206,2.5796050089593505,2.6178471534675363,2.671133029148249,2.7022297973390725,2.7413742894981294,2.965661304589459,3.260001636999142,3.643299148719531,2.4071656066377787
2012-08-31,2012-09-30,1,2.616505079170328,0.5700837304338797,1.2938278824571081,1.7612731861077433,2.213058417490344,2.369724749073218,2.4027778554670904,2.4400917630298764,2.5948917275756216,2.63482332415772,2.6782305539819555,2.709496046562907,2.7413310769597934,2.9662609767526424,3.261181377295306,3.6600205528245735,2.4764044105519987
2012-09-30,2012-10-30,1,2.5106405815373822,0.6029756983971044,1.321866336469865,1.7523122493468857,2.1941455236284275,2.368002224332673,2.4030880800029397,2.52042690302898,2.600691904353124,2.627142602555378,2.668782867559156,2.696696890296759,2.73425736252403,2.9615774167637086,3.261709385972839,3.650416102911439,2.468262268877113
2012-10-31,2012-11-30,1,2.213224948968251,0.9097785313534877,1.564032234489585,1.8359347442164982,2.300697281786602,2.3734156858960778,2.4046821144558317,2.4976903201443914,2.5894686297404266,2.61463503592373,2.654195115789712,2.681427317029497,2.7184973051340813,2.9526583455716215,3.2310666203508673,3.610115329661755,2.4768837121385667
2012-11-30,2012-12-30,1,2.215083701177223,0.5185656355851123,1.1842625503334903,1.6410226657446576,2.011072994164976,2.2000039750834883,2.213210027485694,2.4006056269416387,2.4516524533723243,2.584738679967769,2.6166610254296994,2.6508534678880196,2.67694498415884,2.8037909889721866,2.9712717851917647,3.3809363001221584,2.352852082967264
2012-12-31,2013-01-31,1,1.9952990939618551,0.5529337679599392,1.3974662272330391,1.7534256231112046,2.097959767987306,2.206357211827148,2.213249389514374,2.357893448693387,2.430974401525106,2.5351752167782595,2.610454504234764,2.6306914175127223,2.6626109689301805,2.7529849806038333,2.9818209880468594,3.311677355299982,2.3463515068669865
2013-01-31,2013-02-28,1,1.8371318386398272,-0.1515056152142667,0.7489081703593781,1.4387396027918542,1.7984037217638664,1.9056256540565801,1.9285082958673925,2.098341824735458,2.2139222616972187,2.405191216536273,2.5405634102745696,2.6007174189690394,2.6204487381101016,2.722080165801609,2.9549477068196417,3.253231895374769,2.1577641194881836
2013-02-28,2013-03-28,1,1.6562352421727544,-0.17186697470659398,0.3550010566409775,1.1554372660009593,1.6777586049682005,1.7892444369014555,1.8366288760717613,1.9215910489277388,2.090588404949236,2.213648590305629,2.4139037818272775,2.5035618439000737,2.5953838079195797,2.682313244380018,2.831175632490704,3.1339608197943334,2.022653065636018
