Model,horizon_step,RMSE,MAE,CRPS
Naive Mean,1,0.9556,0.7484,0.5429
Naive Mean,2,1.0037,0.7853,0.5709
Naive Mean,3,1.0474,0.8187,0.5966
Naive Mean,6,1.1525,0.9070,0.6593
Naive Mean,12,1.2541,0.9973,0.7280
Naive Last,1,0.2859,0.2173,0.1593
Naive Last,2,0.4305,0.3327,0.2396
Naive Last,3,0.5608,0.4210,0.3099
Naive Last,6,0.8360,0.6288,0.4624
Naive Last,12,1.2536,0.9819,0.7034
PNC,1,0.9556,0.8057,0.5519
PNC,2,1.0037,0.8484,0.5930
PNC,3,1.0474,0.8845,0.6304
PNC,6,1.1525,0.9522,0.7202
PNC,12,1.2541,1.0378,0.8059
BVAR Diffuse,1,0.3494,0.2701,0.1934
BVAR Diffuse,2,0.4896,0.3832,0.2727
BVAR Diffuse,3,0.6145,0.4630,0.3383
BVAR Diffuse,6,0.8794,0.6684,0.4882
BVAR Diffuse,12,1.3097,1.0295,0.7782
BVAR Minnesota,1,0.3453,0.2668,0.1911
BVAR Minnesota,2,0.4853,0.3797,0.2701
BVAR Minnesota,3,0.6091,0.4593,0.3348
BVAR Minnesota,6,0.8721,0.6595,0.4816
BVAR Minnesota,12,1.2975,1.0152,0.7663
BVAR Normal-Wishart,1,0.3444,0.2664,0.1911
BVAR Normal-Wishart,2,0.4903,0.3836,0.2736
BVAR Normal-Wishart,3,0.6121,0.4627,0.3373
BVAR Normal-Wishart,6,0.8774,0.6667,0.4884
BVAR Normal-Wishart,12,1.3078,1.0277,0.7810
"ARIMA(1,1,0)",1,0.2845,0.2157,0.1583
"ARIMA(1,1,0)",2,0.4240,0.3274,0.2363
"ARIMA(1,1,0)",3,0.5583,0.4176,0.3076
"ARIMA(1,1,0)",6,0.8303,0.6225,0.4573
"ARIMA(1,1,0)",12,1.2544,0.9801,0.7032
DFM,1,0.2843,0.2149,0.1577
DFM,2,0.4223,0.3227,0.2342
DFM,3,0.5559,0.4139,0.3045
DFM,6,0.8343,0.6289,0.4567
DFM,12,1.2896,1.0079,0.7250
DRF,1,0.4116,0.3020,0.2275
DRF,2,0.5299,0.3935,0.2906
DRF,3,0.6221,0.4649,0.3386
DRF,6,0.8017,0.5883,0.4225
DRF,12,0.8691,0.6190,0.4404
