model,method,horizon,first_cross_10,first_cross_100,e_max,e_last,region
"ARIMA(1,1,0)",beta_e,1,NA,NA,1.418206466539036,1.398565352763961,ch
BVAR (Minnesota),beta_e,1,2009-03-31,2010-01-31,202.98023473093843,0.04574890642662914,ch
BVAR (NW),beta_e,1,2008-11-30,2009-01-31,20029.797537759958,0.2579117803227716,ch
BVAR (diffuse),beta_e,1,2009-03-31,2010-01-31,199.68479579748666,0.045779259996673954,ch
DFM,beta_e,1,NA,NA,1.4397692986878785,1.3493213399716075,ch
DRF,beta_e,1,2005-12-30,2014-10-30,12069134.695453204,12069134.695453204,ch
Naive last,beta_e,1,NA,NA,2.1272772073872974,2.1125484156906498,ch
PNC,rank_betabinom,1,2020-02-29,2020-05-31,24384570.458863977,24384570.458863977,ch
Rolling mean,beta_e,1,2003-10-31,2004-01-31,3319783067.0826626,8.565719889807333e-5,ch
"ARIMA(1,1,0)",beta_e,2,NA,NA,1.0906105304785214,0.9606319799201741,ch
BVAR (Minnesota),beta_e,2,NA,NA,4.5385364730547915,0.07587840135622803,ch
BVAR (NW),beta_e,2,2009-05-31,NA,63.28557292562277,0.3154255157180249,ch
BVAR (diffuse),beta_e,2,NA,NA,4.182533050957877,0.07294561254158846,ch
DFM,beta_e,2,NA,NA,1.0956675577803616,0.13228470519398366,ch
DRF,beta_e,2,NA,NA,1.7209206219170883,1.0018823457348072,ch
Naive last,beta_e,2,NA,NA,1.2589147914343815,0.45360410495439374,ch
PNC,rank_betabinom,2,2015-08-31,2019-11-30,2289392.4640625576,2289392.4640625576,ch
Rolling mean,beta_e,2,2003-10-31,2004-04-30,395997.48993063514,0.004681304923932132,ch
"ARIMA(1,1,0)",beta_e,3,NA,NA,1.150410512320236,0.14014818319280856,ch
BVAR (Minnesota),beta_e,3,NA,NA,1,0.0355597689262691,ch
BVAR (NW),beta_e,3,NA,NA,2.7359421112734075,0.1075624673646216,ch
BVAR (diffuse),beta_e,3,NA,NA,1,0.04166029972057384,ch
DFM,beta_e,3,NA,NA,1,0.03145298199125828,ch
DRF,beta_e,3,NA,NA,2.3260758419583705,0.05740348598434316,ch
Naive last,beta_e,3,NA,NA,1.4012096144550508,0.2471861385795648,ch
PNC,rank_betabinom,3,2012-05-31,2019-12-31,158594.58637875353,158594.58637875353,ch
Rolling mean,beta_e,3,2003-09-30,2004-09-30,9773.909327811261,0.03288267624895675,ch
"ARIMA(1,1,0)",beta_e,6,NA,NA,4.495556781264744,0.02425223471596649,ch
BVAR (Minnesota),beta_e,6,2010-01-31,NA,23.96591162580693,18.48355560392426,ch
BVAR (NW),beta_e,6,2009-07-31,2010-03-31,209.0403751855372,143.21792429298836,ch
BVAR (diffuse),beta_e,6,2010-01-31,NA,18.525862730759062,13.716106606118979,ch
DFM,beta_e,6,NA,NA,2.1257265452958367,0.015405448809220039,ch
DRF,beta_e,6,NA,NA,1.4760874170726093,0.06281601527844964,ch
Naive last,beta_e,6,NA,NA,5.09187973413825,0.026347716952600148,ch
PNC,rank_betabinom,6,2015-09-30,2020-09-30,8786.287892763436,8786.287892763436,ch
Rolling mean,beta_e,6,NA,NA,9.27546363066983,0.011999145223294386,ch
"ARIMA(1,1,0)",beta_e,12,NA,NA,1.5538524487678558,0.4747225505360176,ch
BVAR (Minnesota),beta_e,12,2022-03-31,2022-05-31,3597.0057901379037,2147.599883647235,ch
BVAR (NW),beta_e,12,2021-06-30,2022-04-30,38934.37327021492,21587.185984856893,ch
BVAR (diffuse),beta_e,12,2022-02-28,2022-04-30,9517.675467329289,5457.049818613711,ch
DFM,beta_e,12,NA,NA,1.0492876242988494,0.5748718966194911,ch
DRF,beta_e,12,NA,NA,1.2141020573118713,0.501988637644705,ch
Naive last,beta_e,12,NA,NA,2.2554454470011414,0.6168126347556121,ch
PNC,rank_betabinom,12,2021-01-31,NA,34.54898794449357,34.54898794449357,ch
Rolling mean,beta_e,12,NA,NA,9.006911523454507,0.13055891461719724,ch
"ARIMA(1,1,0)",beta_e,1,2011-09-30,2023-10-31,199.84694869913713,10.083339752947431,eu
BVAR (Minnesota),beta_e,1,2023-01-31,2023-03-31,1053681488046357.3,179195193715298.34,eu
BVAR (NW),beta_e,1,2022-03-31,2022-03-31,507292253869479e15,6246162242960341e13,eu
BVAR (diffuse),beta_e,1,2022-11-30,2022-11-30,34552058601547913e6,4815201713045984e6,eu
DFM,beta_e,1,2023-03-31,2023-03-31,19020845.822305653,451235.25711703347,eu
DRF,beta_e,1,2011-10-30,2011-11-30,113.40751503350354,1.5677163870547942e-6,eu
Naive last,beta_e,1,2011-09-30,2023-10-31,1208.249253397153,37.00397917977961,eu
PNC,rank_betabinom,1,NA,NA,1,1.0874107377091054e-14,eu
Rolling mean,beta_e,1,2011-09-30,2022-10-31,33652227.94023206,2830142.064456046,eu
"ARIMA(1,1,0)",beta_e,2,2014-11-30,NA,47.14331994065555,5.6767872589515385,eu
BVAR (Minnesota),beta_e,2,2021-10-31,2022-02-28,14619206947188505e11,6444940387128551e11,eu
BVAR (NW),beta_e,2,2021-05-31,2021-06-30,1054088824221458e27,35497139935381505e25,eu
BVAR (diffuse),beta_e,2,2021-08-31,2021-10-31,30020402775167288e19,9722876533797538e19,eu
DFM,beta_e,2,2022-12-31,2022-12-31,4114995668129.1934,158185377948.32474,eu
DRF,beta_e,2,NA,NA,1.8285936164669165,0.005226147315130392,eu
Naive last,beta_e,2,2023-10-31,NA,13.835260438126976,1.228707488736171,eu
PNC,rank_betabinom,2,2014-08-31,2014-12-31,2095200.8741654342,1091300.7407912312,eu
Rolling mean,beta_e,2,2022-10-31,2022-12-31,1503.7052400886155,457.67057766386904,eu
"ARIMA(1,1,0)",beta_e,3,2023-07-31,2023-10-31,107.24940092900977,16.048101903648572,eu
BVAR (Minnesota),beta_e,3,2021-10-31,2021-10-31,3944934767693431e18,25105948557044624e17,eu
BVAR (NW),beta_e,3,2021-05-31,2021-07-31,10370229487259926e35,6891171243609267e35,eu
BVAR (diffuse),beta_e,3,2021-07-31,2021-10-31,7351782220154519e28,494534154017428e29,eu
DFM,beta_e,3,2022-03-31,2022-12-31,89055003608028.28,5233216496076.675,eu
DRF,beta_e,3,NA,NA,6.033127858028666,0.09017107141347318,eu
Naive last,beta_e,3,2023-10-31,NA,25.12305896598463,3.5281002737887324,eu
PNC,rank_betabinom,3,2013-11-30,2014-03-31,149512606.52994135,105770932.21870907,eu
Rolling mean,beta_e,3,2022-08-31,2022-11-30,2038.9690177030643,1093.875044407343,eu
"ARIMA(1,1,0)",beta_e,6,2023-10-31,2023-10-31,199.5882249427036,36.81338244201055,eu
BVAR (Minnesota),beta_e,6,2021-07-31,2021-08-31,13942460698860538e54,2.6127193438101968e+68,eu
BVAR (NW),beta_e,6,2020-08-31,2021-02-28,3006238359880722e64,21886677864898446e63,eu
BVAR (diffuse),beta_e,6,2020-08-31,2021-02-28,38111484974361056e55,15269541337643983e55,eu
DFM,beta_e,6,2022-02-28,2022-06-30,419918982520758.2,36368332954493.81,eu
DRF,beta_e,6,NA,NA,1.2029435639195,0.11464951743074066,eu
Naive last,beta_e,6,NA,NA,2.4259642774902432,0.5064693104498614,eu
PNC,rank_betabinom,6,2023-11-30,2024-10-31,451.0801194070447,449.87736694611493,eu
Rolling mean,beta_e,6,2022-10-31,NA,95.85155279036472,71.18244352578152,eu
"ARIMA(1,1,0)",beta_e,12,2022-09-30,2022-10-31,204929.67880093105,84153.15998093275,eu
BVAR (Minnesota),beta_e,12,2021-08-31,2021-08-31,33281932464853735e36,29016347439734422e35,eu
BVAR (NW),beta_e,12,2021-08-31,2021-08-31,22879458980210336e62,20816108300073137e61,eu
BVAR (diffuse),beta_e,12,2021-08-31,2021-08-31,6037074368687896e52,5.7104688876956654e+66,eu
DFM,beta_e,12,2022-04-30,2022-04-30,4277406563975126e10,3217957611996496e9,eu
DRF,beta_e,12,NA,NA,1.0608787992706707,0.9075571088466176,eu
Naive last,beta_e,12,2023-10-31,NA,11.030917324339923,6.348745314239199,eu
PNC,rank_betabinom,12,NA,NA,9.538243436534325,9.538243436534325,eu
Rolling mean,beta_e,12,NA,NA,4.702698949824488,4.701783046383368,eu
"ARIMA(1,1,0)",beta_e,1,1996-04-30,1997-06-30,18228.22209275219,0.0010327896635241888,us
BVAR (Minnesota),beta_e,1,1987-04-30,2007-10-31,1909499959876248e7,8604045750026101e5,us
BVAR (NW),beta_e,1,1987-04-30,2006-09-30,5664269074539965e15,17318525531702957e13,us
BVAR (diffuse),beta_e,1,1987-04-30,2006-10-31,16070392389225919e11,4407310185193708e10,us
DFM,beta_e,1,1995-06-30,1996-07-31,96982.30304591995,0.0030395470853459786,us
DRF,beta_e,1,1992-12-30,1993-10-30,476528000799403.7,352322128402310.94,us
Naive last,beta_e,1,1997-07-31,1998-06-30,1865.6657893111299,3.760341408962646e-4,us
PNC,rank_betabinom,1,1986-12-31,NA,56.751401686885934,4.8023305645498136,us
Rolling mean,beta_e,1,1987-01-31,1991-01-31,2281605140808595e19,512.7230509453474,us
"ARIMA(1,1,0)",beta_e,2,1997-08-31,1999-02-28,129.59602067962763,0.056534527540445745,us
BVAR (Minnesota),beta_e,2,2007-11-30,2008-11-30,25213408695459484e3,3367407425197000700,us
BVAR (NW),beta_e,2,2006-09-30,2007-11-30,2675731558036085e10,2661449533083608e9,us
BVAR (diffuse),beta_e,2,2007-10-31,2007-11-30,35633688866565904e6,37040272088571985e5,us
DFM,beta_e,2,2008-11-30,2008-11-30,107777150.85565884,903699.2813552998,us
DRF,beta_e,2,1993-06-30,1995-10-31,2128.4308725953683,79.23708859552714,us
Naive last,beta_e,2,1998-06-30,2001-06-30,112.10043928425922,0.004337826984230487,us
PNC,rank_betabinom,2,1998-09-30,2009-07-31,128287.04383894322,128287.04383894322,us
Rolling mean,beta_e,2,1989-07-31,1990-03-31,3617250655595244e4,2352.041683601912,us
"ARIMA(1,1,0)",beta_e,3,1998-11-30,NA,73.55781501881313,0.008687025711386886,us
BVAR (Minnesota),beta_e,3,2007-12-31,2008-11-30,3873537368329522.5,552585340186370.5,us
BVAR (NW),beta_e,3,2006-09-30,2008-11-30,17146316604505522e3,1876847895796296400,us
BVAR (diffuse),beta_e,3,2007-12-31,2008-11-30,619293543134514800,77659013603627090,us
DFM,beta_e,3,2008-12-31,2009-11-30,322609.6670164096,31166.014903216874,us
DRF,beta_e,3,1996-07-30,NA,22.920527085953125,0.7738821945947927,us
Naive last,beta_e,3,1997-02-28,1999-11-30,596.965866248055,0.004122265004384358,us
PNC,rank_betabinom,3,1998-02-28,2002-03-31,544384.5133598995,544384.5133598995,us
Rolling mean,beta_e,3,1989-11-30,1990-12-31,31070525287428.55,245.65974229904376,us
"ARIMA(1,1,0)",beta_e,6,1999-02-28,NA,28.102308114878394,0.034014240008957,us
BVAR (Minnesota),beta_e,6,2008-03-31,2008-12-31,14272096368160301e10,12803396819429087e9,us
BVAR (NW),beta_e,6,2008-02-29,2008-12-31,40115937869596317e14,3230966886294804e14,us
BVAR (diffuse),beta_e,6,2008-02-29,2008-12-31,3350558739809186e13,29387014389772516e11,us
DFM,beta_e,6,2010-01-31,2021-07-31,136279.7965419138,32132.085664147555,us
DRF,beta_e,6,NA,NA,1.6528319255234598,0.12570890051351816,us
Naive last,beta_e,6,1997-03-31,2001-09-30,103.30050104108348,0.04709567259970363,us
PNC,rank_betabinom,6,1994-07-31,2002-03-31,198655.6064827243,198655.6064827243,us
Rolling mean,beta_e,6,1994-12-31,1996-08-31,2721044.7693810766,5.771693639206184,us
"ARIMA(1,1,0)",beta_e,12,NA,NA,4.862373894700585,0.06440191913233363,us
BVAR (Minnesota),beta_e,12,2003-01-31,2004-02-29,6554176101395737e16,2757527111554201e16,us
BVAR (NW),beta_e,12,2002-01-31,2003-02-28,51722481466165065e20,1882911285297397e21,us
BVAR (diffuse),beta_e,12,2002-02-28,2003-02-28,34176402438584038e18,1341964381074078e19,us
DFM,beta_e,12,2011-09-30,2023-06-30,706.3104539931397,541.3769611900584,us
DRF,beta_e,12,NA,NA,1.0225935499997276,0.15106014036197726,us
Naive last,beta_e,12,2003-09-30,NA,35.4863530534925,0.059126545425225635,us
PNC,rank_betabinom,12,1998-10-31,2009-08-31,8786.540933264398,8786.540933264398,us
Rolling mean,beta_e,12,1999-03-31,2004-10-31,3426.493915342749,6.999567752298304,us
