Model,horizon_step,RMSE,MAE,CRPS
Naive Mean,1,2.0259,1.3761,1.0382
Naive Mean,2,2.1540,1.4708,1.1056
Naive Mean,3,2.2745,1.5598,1.1691
Naive Mean,6,2.5862,1.7936,1.3353
Naive Mean,12,2.9549,2.0820,1.5368
Naive Last,1,0.3603,0.2414,0.1822
Naive Last,2,0.6023,0.4159,0.3148
Naive Last,3,0.8129,0.5723,0.4324
Naive Last,6,1.4031,0.9335,0.7278
Naive Last,12,2.4301,1.6103,1.2405
PNC,1,2.0259,1.3692,0.9800
PNC,2,2.1540,1.4626,1.0746
PNC,3,2.2745,1.5557,1.1634
PNC,6,2.5862,1.7937,1.4002
PNC,12,2.9549,2.1120,1.7164
BVAR Diffuse,1,0.4312,0.2885,0.2237
BVAR Diffuse,2,0.7840,0.5227,0.4130
BVAR Diffuse,3,1.0653,0.7135,0.5682
BVAR Diffuse,6,1.8533,1.1735,1.0010
BVAR Diffuse,12,3.1323,2.0236,1.7984
BVAR Minnesota,1,0.4261,0.2846,0.2187
BVAR Minnesota,2,0.7647,0.5108,0.3992
BVAR Minnesota,3,1.0385,0.6925,0.5496
BVAR Minnesota,6,1.8145,1.1425,0.9709
BVAR Minnesota,12,3.0770,1.9629,1.7379
BVAR Normal-Wishart,1,0.4301,0.2877,0.2234
BVAR Normal-Wishart,2,0.7796,0.5207,0.4129
BVAR Normal-Wishart,3,1.0590,0.7103,0.5685
BVAR Normal-Wishart,6,1.8411,1.1679,1.0008
BVAR Normal-Wishart,12,3.1178,2.0182,1.8005
"ARIMA(1,1,0)",1,0.3338,0.2217,0.1698
"ARIMA(1,1,0)",2,0.5624,0.3880,0.2924
"ARIMA(1,1,0)",3,0.7603,0.5432,0.4051
"ARIMA(1,1,0)",6,1.3348,0.8939,0.6991
"ARIMA(1,1,0)",12,2.3853,1.5827,1.2530
DFM,1,0.3415,0.2246,0.1703
DFM,2,0.5842,0.4020,0.3024
DFM,3,0.7909,0.5431,0.4165
DFM,6,1.4334,0.9428,0.7515
DFM,12,2.7113,1.7577,1.4530
DRF,1,1.2950,0.7122,0.5082
DRF,2,1.3971,0.8251,0.5810
DRF,3,1.4915,0.9096,0.6390
DRF,6,1.6691,1.0593,0.7356
DRF,12,1.8324,1.1139,0.8042
