model,ks_statistic,p_value,region,horizon
"ARIMA(1,1,0)",0.06906909479263994,0.10893065493033283,ch,1
BVAR (Minnesota),0.03404336674780099,0.8714264117480078,ch,1
BVAR (NW),0.02843917801530864,0.9660358050984512,ch,1
BVAR (diffuse),0.03438009113178635,0.8637228705925488,ch,1
DFM,0.07682688115849395,0.054621992203676695,ch,1
DRF,0.1305633630394656,8.006697150109154e-5,ch,1
Naive last,0.06156535319090495,0.19791774589196753,ch,1
Rolling mean,0.08642780671823042,0.020996256928064616,ch,1
"ARIMA(1,1,0)",0.06387217989462166,0.16595890227037347,ch,2
BVAR (Minnesota),0.02750094966301613,0.9755693931692122,ch,2
BVAR (NW),0.03532030677006777,0.8426530282976061,ch,2
BVAR (diffuse),0.03282029304955014,0.898768949354491,ch,2
DFM,0.07263187443924243,0.08091503056386251,ch,2
DRF,0.08293817757935382,0.03407904442521381,ch,2
Naive last,0.06650708212466065,0.1346192036313697,ch,2
Rolling mean,0.08470886643240197,0.025123139792276095,ch,2
"ARIMA(1,1,0)",0.0745234746877089,0.06756414552944445,ch,3
BVAR (Minnesota),0.04289414263514163,0.6328025462599444,ch,3
BVAR (NW),0.04468975024748889,0.5804645076171264,ch,3
BVAR (diffuse),0.05272254593188658,0.36871790217208533,ch,3
DFM,0.08169901567134902,0.0350232181554474,ch,3
DRF,0.06507767048701413,0.16429049868390377,ch,3
Naive last,0.07089710341360304,0.09319533697839544,ch,3
Rolling mean,0.07951999549603357,0.042249855129775304,ch,3
"ARIMA(1,1,0)",0.06240150451364061,0.18582214662446384,ch,6
BVAR (Minnesota),0.060664973730316984,0.219517211057199,ch,6
BVAR (NW),0.08921094111038463,0.01687353892417509,ch,6
BVAR (diffuse),0.07251041110299294,0.08529953707303584,ch,6
DFM,0.0768519893126432,0.05780881958969075,ch,6
DRF,0.046650579248166166,0.548761204821626,ch,6
Naive last,0.07033634915534585,0.0978066166970788,ch,6
Rolling mean,0.08145961756372244,0.03492276351701373,ch,6
"ARIMA(1,1,0)",0.04607783225082043,0.5364909735467168,ch,12
BVAR (Minnesota),0.15073380048121668,3.1547167609335958e-6,ch,12
BVAR (NW),0.18061301403162355,9.348624763205748e-9,ch,12
BVAR (diffuse),0.1659180559960589,1.8669529511239347e-7,ch,12
DFM,0.06569523788956189,0.15801346408501915,ch,12
DRF,0.05660797022035386,0.31858700990202604,ch,12
Naive last,0.06446136569137036,0.15848986945936216,ch,12
Rolling mean,0.10102746244880514,0.003954713144744826,ch,12
"ARIMA(1,1,0)",0.06158485403319064,0.5167230487363621,eu,1
BVAR (Minnesota),0.08039216873434163,0.20538254924056054,eu,1
BVAR (NW),0.08455604980869806,0.16136564451543423,eu,1
BVAR (diffuse),0.07877078882401267,0.22483616093965342,eu,1
DFM,0.04784937744573758,0.8151440680312603,eu,1
DRF,0.13893754888125834,0.0036984543967242267,eu,1
Naive last,0.05521285804040721,0.656701586456848,eu,1
Rolling mean,0.08614096017492712,0.14672700762332003,eu,1
"ARIMA(1,1,0)",0.054971875158286276,0.6620932472701151,eu,2
BVAR (Minnesota),0.1234713740660699,0.009631984439105512,eu,2
BVAR (NW),0.12993092474062906,0.005431344005423666,eu,2
BVAR (diffuse),0.12534638972866496,0.008180892848144272,eu,2
DFM,0.07921479024551972,0.22213420023612473,eu,2
DRF,0.09650368134951479,0.09784514861883686,eu,2
Naive last,0.06593659083360204,0.42852540937151296,eu,2
Rolling mean,0.08925724707424565,0.1210673624901587,eu,2
"ARIMA(1,1,0)",0.06822119665970083,0.3857906888391238,eu,3
BVAR (Minnesota),0.16219447286066346,2.114112678881508e-4,eu,3
BVAR (NW),0.16629313051205774,1.3232654713524195e-4,eu,3
BVAR (diffuse),0.16092902382891383,2.437398069247143e-4,eu,3
DFM,0.09279450639195555,0.09990425316045581,eu,3
DRF,0.10508611418400969,0.057111399833953413,eu,3
Naive last,0.08606538604607383,0.14739990656575208,eu,3
Rolling mean,0.08979309900725896,0.11704939697500594,eu,3
"ARIMA(1,1,0)",0.09690834617805144,0.07334255761072239,eu,6
BVAR (Minnesota),0.20523829760155088,1.2055305321778675e-6,eu,6
BVAR (NW),0.22210310531688215,1.2667234372543135e-7,eu,6
BVAR (diffuse),0.21800033750891512,2.3236271418092258e-7,eu,6
DFM,0.12632708318077812,0.00852569425082561,eu,6
DRF,0.10441062853598893,0.06522037111653756,eu,6
Naive last,0.10530408899380639,0.04034967901864739,eu,6
Rolling mean,0.0906484647643907,0.11086323111801866,eu,6
"ARIMA(1,1,0)",0.10340008873163964,0.04640718920180453,eu,12
BVAR (Minnesota),0.301170561048065,3.0436764220098667e-12,eu,12
BVAR (NW),0.3561832628964825,1.1102230246251565e-16,eu,12
BVAR (diffuse),0.35043903403120685,2.220446049250313e-16,eu,12
DFM,0.17260387981405215,1.0747571989966342e-4,eu,12
DRF,0.09181333699195529,0.15413342060045565,eu,12
Naive last,0.08940751458842411,0.11992937021333627,eu,12
Rolling mean,0.12265770121811848,0.010025114819281922,eu,12
"ARIMA(1,1,0)",0.04650299374025929,0.2602338496557014,us,1
BVAR (Minnesota),0.04185268290648969,0.3813645029184959,us,1
BVAR (NW),0.04455027888742591,0.3072544267924593,us,1
BVAR (diffuse),0.04141092031952335,0.39450078621378615,us,1
DFM,0.05664836478433466,0.09730731517223212,us,1
DRF,0.11802482872413393,5.287400035580703e-6,us,1
Naive last,0.051922422666631995,0.15772256906035031,us,1
Rolling mean,0.12920471401052835,2.961300352710694e-7,us,1
"ARIMA(1,1,0)",0.06048447247559208,0.06373183671832006,us,2
BVAR (Minnesota),0.058600576384109204,0.07926956693423903,us,2
BVAR (NW),0.0563183119015931,0.10142553232905405,us,2
BVAR (diffuse),0.05038551314146359,0.18378130587677033,us,2
DFM,0.05080242286785841,0.17665147590243147,us,2
DRF,0.08070303160004245,0.004997618401495485,us,2
Naive last,0.06128784717620217,0.058121596972901424,us,2
Rolling mean,0.13938014178856417,2.2563755530669027e-8,us,2
"ARIMA(1,1,0)",0.07398537940640515,0.011525343710627634,us,3
BVAR (Minnesota),0.060273533865547346,0.06623486454805938,us,3
BVAR (NW),0.05952994598131889,0.07200660216836285,us,3
BVAR (diffuse),0.05769877328753881,0.08806505698772349,us,3
DFM,0.040282506541371665,0.4319824610280547,us,3
DRF,0.07255043417911053,0.015941867498359796,us,3
Naive last,0.08039603778175275,0.00453699039908162,us,3
Rolling mean,0.14688083558387655,2.9853708394256273e-9,us,3
"ARIMA(1,1,0)",0.06584272501124361,0.03368587404961754,us,6
BVAR (Minnesota),0.1077685702516118,3.981920789764004e-5,us,6
BVAR (NW),0.11875804012817799,3.912676809991744e-6,us,6
BVAR (diffuse),0.11595240725121869,7.227941809517802e-6,us,6
DFM,0.0534685572910343,0.13922375766631345,us,6
DRF,0.06214142372699464,0.05863985424994622,us,6
Naive last,0.09221602735201961,6.638672392076383e-4,us,6
Rolling mean,0.1668457964918264,8.176126442549503e-12,us,6
"ARIMA(1,1,0)",0.04731556112938329,0.24230540822755386,us,12
BVAR (Minnesota),0.18067935356684506,1.9317880628477724e-13,us,12
BVAR (NW),0.172227905640712,3.1687985568851218e-12,us,12
BVAR (diffuse),0.17078332793642448,4.706346423688501e-12,us,12
DFM,0.07057685952417536,0.02045639888041717,us,12
DRF,0.05151337102440044,0.18343569539075089,us,12
Naive last,0.08404716332974382,0.0025771508889389505,us,12
Rolling mean,0.17181755155978728,1.6738832542273485e-12,us,12
